,col1,col2,col3
0,俄称一无人机莫斯科地区坠毁 或为袭击民用基础设施,原标题：俄乌冲突至今，“距离莫斯科最近的一次”当地时间2月28日，俄罗斯莫斯科州州长安德烈·沃罗比耶夫表示，一架无人机在莫斯科地区坠毁，其目标可能是为了打击民用基础设施。据俄新社、英国广播公司（BBC）消息，在沃罗比耶夫宣布这一消息前，俄罗斯国防部宣布在俄罗斯南部地区击落了两架乌克兰无人机。据报道，无人机坠毁的地点位于距离莫斯科市约100公里的古巴斯托沃村附近，俄罗斯天然气股份公司在当地运营着能源设施。俄罗斯天然气股份公司对俄新社表示，该公司在当地的业务并未中断。沃罗比耶夫称，无人机袭击的目标可能是当地的民用基础设施，俄方并未遭到人员或财产损失，目前俄罗斯联邦安全局（FSB）和其他部门正在进行调查。俄方发布的图片显示，一架受损的无人机停在积雪覆盖的田野上，其外形与乌克兰生产的UJ-22无人机相似。乌克兰方面曾表示，UJ-22无人机的最大航程可达800公里。乌克兰内政部长顾问安东·格拉申科也在推特上发布了这架无人机的照片，他宣称：“这里距离俄乌边境500多公里，很快，俄罗斯领导人可能会非常害怕在公共场合露面，因为无人机可以到达很远的距离。”BBC称，如果这架无人机真的属于乌克兰，这将是自俄乌冲突爆发以来，乌克兰对俄罗斯发动的一系列袭击中，距离俄首都莫斯科最近的一次，但乌克兰方面并未公开承认这架无人机与自己有关。英媒称，俄罗斯总统普京周二要求FSB加强行动，打击乌克兰和西方国家日益增多的间谍活动和破坏活动。同日，俄罗斯国防部宣布在该国西部进行了一次战斗机训练演习。,军事
1,中国驻日本大使孔铉佑离任回国,原标题：中国驻日本大使孔铉佑离任回国2月28日，中国驻日本大使孔铉佑及夫人王秀君离任回国。使馆馆员、日本政府官员及在日中资企业代表等分别在使馆和机场送行。孔铉佑大使临行前辞行拜会了日本参众两院议长、外相等政府高层、朝野主要政党负责人及地方、经济、友好团体等各界人士。,军事
2,日自卫队处理废弃子弹时发生废弹破裂事故 警方介入,原标题：日本自卫队处理废弃子弹时发生废弹破裂事故据日本东北放送电视台3月1日报道，2月28日晚间日本自卫队在位于日本宫城县内的废弃物处理场内处理废弃子弹时，发生了废弹破裂事故。目前警方正在调查因此造成的损失情况。据悉，此次自卫队处理的废弹为其淘汰退役子弹、不良子弹和老化子弹。（总台记者 刘茁野）,军事
3,她突访基辅，泼了盆冷水？没收更多俄资产存法律障碍,原标题：她突访基辅，泼了盆冷水？外媒：美财长突访基辅，承认没收更多俄被冻结资产存在“重大法律障碍”据路透社、塔斯社报道，美财长耶伦当地时间27日“突访”基辅，与乌总统泽连斯基会面，并接受记者采访。当天，耶伦谈到俄罗斯被没收的海外资产，称俄罗斯应承担其“入侵”乌克兰造成的损失费用，但她也承认，没收更多被冻结的俄资产目前仍存在“重大法律障碍”。报道称，随着俄乌冲突已进入第二年，这场战争造成的损失已达数千亿美元，且仍在继续上升。对此，耶伦声称，美国及其盟国正在讨论，确保俄罗斯为其战争造成的破坏付出代价。制作：环视频/王力但路透社提到，虽然华盛顿没收了俄罗斯一部分被认定用作犯罪活动的海外资产，但对于俄罗斯央行以及俄因制裁而冻结的其他大量资产来说则不一样。“我们没收的资产规模很小，但做更多（的事情）肯定会面临法律挑战，”耶伦称。路透社报道称，此前，美国及其西方盟国没收了俄罗斯央行因制裁而冻结的3000多亿美元外汇资产。这些资产中很大一部分存在纽约联邦储备银行，但所有权仍然归属俄罗斯。一些欧洲官员呼吁全面没收这些资产，乌克兰总理杰尼斯·什米加尔表示，他和耶伦周一稍早前讨论了这个问题。此外，据路透社报道，耶伦还在“突访”基辅期间对记者表示，美国将研究乌克兰呼吁对俄罗斯核能部门实施制裁的要求，但称需要注意这种行动对西方盟国造成的潜在后果。据美联社此前报道，本月3日，美国司法部长加兰在华盛顿与乌克兰总检察长科斯廷会面时表示，他已批准将没收的俄罗斯资产转移到乌克兰，用于乌克兰重建。这是美国历史上首次这样做。加兰称，这笔资金来自俄罗斯富翁马洛费耶夫。2022年4月，美国政府对马洛费耶夫实施制裁，原因是他“直接或间接地为俄罗斯政府行事”，随后美国政府没收了马洛费耶夫银行账户里约540万美元。对此，俄罗斯驻美国大使馆4日发表声明称，美国政府决定将没收的俄罗斯商人资产转交给乌克兰是公然的盗窃行为。,军事
4,俄石油管道运输公司回应:费用未付 停止向波兰供原油,原标题：俄方：没付钱，停供！俄石油管道运输公司回应：费用未付，停止向波兰供原油波兰奥伦石油公司方面当地时间2月25日表示，俄罗斯已经停止通过“友谊”输油管道向波兰供应原油。对此俄方27日表示，停止向波兰输送原油的原因是相关费用未被支付。据俄罗斯媒体27日报道，负责经营“友谊”输油管道俄罗斯段的俄罗斯石油管道运输公司当天表示，该公司已经停止向波兰输送原油，原因是相关费用未被支付。该公司一直根据俄罗斯能源部批准的出口计划向其他国家输送石油。就在俄方停止向波兰运输原油前一天（24日），波兰向乌克兰交付了首批“豹”式坦克。同样在24日，欧盟各成员国批准第十轮对俄罗斯制裁措施。自去年2月以来，欧盟追随美国对俄罗斯施加了多轮制裁。作为欧盟成员国，波兰无法通过海上运输方式购买俄罗斯的原油和汽油、柴油、燃油等石油产品。不过，“友谊”输油管道得到制裁豁免。“友谊”输油管道是俄罗斯向中欧、东欧运送石油的大型管网系统。,军事
5,普京签令，授予好莱坞影星西格尔俄罗斯“友谊勋章”,原标题：普京签令！好莱坞影星被授勋外媒：普京签令，授予好莱坞影星西格尔俄罗斯“友谊勋章”据塔斯社、路透社等多家媒体报道，俄罗斯普京当地时间周一（27日）签署法令，授予好莱坞动作片影星史蒂文·西格尔俄罗斯“友谊勋章”，以表彰其在国际人道主义和文化工作上所做的贡献。塔斯社称，相关法令文件已发布在了俄罗斯官方法律信息门户网站。路透社称，该法令还提到了西格尔作为俄罗斯外交部负责与美国、日本人道主义关系特别代表所做的工作。关于西格尔，据此前报道，他是一位出生于美国的功夫明星。长期以来，他一直是俄罗斯总统普京的崇拜者，普京也是武术爱好者。2016年，普京授予西格尔俄罗斯公民身份，并给他颁发了护照。2018年，俄罗斯曾委托他改善莫斯科和华盛顿之间的关系。,军事
6,我国自研空间站双光子显微镜首获航天员皮肤三维图像,原标题：世界首次！成功了我国自主研制空间站双光子显微镜首获航天员皮肤三维图像神舟十五号航天员乘组近日使用由我国自主研制的空间站双光子显微镜开展在轨验证实验任务并取得成功。记者27日从空间站双光子显微镜项目团队获悉，这是目前已知的世界首次在航天飞行过程中使用双光子显微镜获取航天员皮肤表皮及真皮浅层的三维图像，为未来开展航天员在轨健康监测研究提供了全新工具。双光子显微成像技术是基于双光子吸收及荧光激发的一种非线性光学成像技术，具有高分辨率、强三维层析能力、大成像深度等特点。由于传统的双光子显微镜整机系统庞大，不能满足在轨实验仪器设备对可靠性、体积、重量、抗冲击和振动性能等的苛刻要求，此前国际上还未能实现双光子显微成像技术在空间站在轨运行与应用。2017年，北京大学国家生物医学成像科学中心主任程和平院士带领团队成功研制探头仅重2.2克的微型化双光子显微镜，为空间站双光子显微镜的开发奠定基础。2019年，在中国载人航天工程办公室大力支持下，由北大程和平、王爱民团队，中国航天员科研训练中心李英贤团队，北京航空航天大学冯丽爽团队联合相关企业及院所组建空间站双光子显微镜项目团队，由程和平担任总负责人。项目组攻克多项显微镜小型化技术难题，于2022年9月研制成功空间站双光子显微镜。项目团队成员、北京大学未来技术学院助理研究员王俊杰博士介绍，2022年11月12日，空间站双光子显微镜搭乘天舟五号货运飞船成功运抵中国空间站，成为世界首台进入太空的双光子显微镜。近日，神舟十五号航天员乘组完成了双光子显微镜的安装、调试和首次成像测试，成功获取了在轨状态下航天员脸部和前臂皮肤的在体双光子显微图像。据悉，空间站双光子显微镜能以亚微米级分辨率清晰呈现出航天员皮肤结构及细胞的三维分布，具备对皮肤表层进行结构、组分等无创显微成像的能力。成像结果显示，皮肤的角质层、颗粒层、棘层、基底细胞层、真皮浅层等三维结构清晰可辨。“空间站双光子显微镜是体现我国高端精密光学仪器制造水平的重要成果。”程和平介绍，此次在轨验证实验实现了多项第一，例如世界上首次实现双光子显微镜在轨正常运行；国内首次实现飞秒激光器在轨正常运行；国际上首次在轨观测航天员细胞结构和代谢成分信息。“这些不仅为从细胞分子水平开展航天员在轨健康监测研究提供了全新工具和方法，也为未来利用中国空间站平台开展脑科学研究提供了重要的技术手段。”,军事
7,俄军最重要的A-50预警机遇袭？西方担心白俄卷入冲突,原标题：突发！俄军最重要的A-50预警机遇袭？在俄乌冲突中，俄军因为疏于防护而损失惨重的案例举不胜举。近日再次传出消息称，一架部署在白俄罗斯的A-50预警机遭到无人机袭击而严重受损。倘若这次袭击属实，这种宝贵的战略资产损失，不但让俄军有失颜面，而且俄军今后的空中防御也可能出现漏洞。而另一方面，白俄罗斯会不会因此卷入俄乌冲突，更是让西方极度关注。最早传出俄军A-50预警机遇袭消息的，是白俄罗斯的反对派游击队。相关社交媒体账号透露，“游击队发起了一次成功的突击行动，在明斯克附近的马丘里奇机场，炸毁了一架罕见的俄罗斯飞机……这是自 2022 年初以来最成功的行动。两次爆炸导致飞机的前部和中部受损，主要航电设备和雷达天线损坏严重。”“爆炸造成的损坏严重，飞机肯定无法起飞。”据称，游击队是借助无人机在该机场制造了这次突袭，此后他们成功脱身，已不在白俄罗斯境内。目前俄罗斯与白俄罗斯官方并没有证实或否认相关消息，克里姆林宫发言人德米特里·佩斯科夫拒绝对相关袭击报道发表评论，“我们对此无可奉告。”但当地消息人士表示“马丘里奇机场的确发生了爆炸”。美国“动力”网站26日称，卫星照片显示，俄空天军的确有至少一架A-50预警机长期部署在明斯克以南的马丘里奇空军基地。此外，该基地还部署有俄空天军米格-31K战斗机，后者可以携带“匕首”高超音速导弹。印度《欧亚时报》27日称，这架注册号RF-50608的A-50U预警机于2023年1月3日抵达白俄罗斯，累计飞行了12架次。据称白俄罗斯安全机构在机场附近发现了一个无人机控制器，证实了这次破坏行为。“莫斯科和明斯克现在都有可能将其视为恐怖行为。”综合各方信息判断，俄军部署在该机场的A-50预警机可能的确遇袭且受损。众所周知，预警机对于现代空战的意义重大，俄军虽然很早就开始发展空中预警机，但装备数量很少。据称俄军总共只有9架A-50系列预警机，但只有6-7架是经过现代化改进的A-50U。自俄乌冲突爆发以来，俄空天军在白俄罗斯方向部署了1-2架A-50U用于监视基辅方向的乌克兰空军行动。《欧亚时报》称，类似预警机这样的大型战略目标，在地面上非常脆弱。因为它的核心部件——直径超过10米的雷达天线圆盘就位于机身正上方，只要有一小部分被破坏就会导致整架预警机失去战力。目前还不清楚到底是什么型号的无人机造成了这样的伤害，有猜测认为可能是类似图-141远程无人机改装的自杀无人机，乌克兰之前数次使用这种自杀无人机攻击俄军纵深机场。它可以携带相当威力的爆炸物，碎片足以对飞机和附近人员造成严重损伤。另一种可能是改装的商用无人机携带炸弹，乌军在俄乌冲突中也广泛使用这类装备。从A-50遭到的精准打击的后果分析，它是被改装的商用无人机攻击的可能性更高。“动力”网站称，如果这次袭击属实，这对俄空天军来说将是一个重大损失。目前预警机是俄军在空战方面相对于乌克兰的主要优势之一。A-50能提供大范围的空中监视、指挥与控制能力，其强大的机载雷达还能探测乌克兰纵深地区的空中动态，包括探测远程地面雷达无法发现的低空飞行飞机。“如果乌克兰未来出动巡航导弹（或准巡航导弹）和远程无人机对俄军发动攻击，A-50提供的这种探测能力将尤其重要。”考虑到当前乌克兰正在要求西方援助现代化战斗机，保持足够数量的预警机能够升空对俄空军继续维系空中优势意义重大，因此“俄军任何一架A-50受损都是惨重损失”。让西方担心的是，这次袭击会不会导致白俄罗斯卷入俄乌冲突？目前白俄罗斯允许俄军利用其领土发起针对乌克兰的军事行动。包括出动战机向乌克兰发射远程导弹、部署防空系统以及起飞A-50监视乌军动态。即便如此，白俄罗斯对于更进一步卷入俄乌冲突的态度非常谨慎。白俄罗斯总统卢卡申科一再表示，除非白俄罗斯受到直接攻击，否则他不会向乌克兰派兵。因此让外界极为关注的是，这次白俄罗斯机场遇袭，是否会被视为“遭到直接攻击”。此事后续将如何发展，各界正保持高度关注。,军事
8,20亿美元！美国最新宣布新一轮对乌克兰军事援助计划,原标题：20亿美元！美国最新宣布当地时间24日，美国公布了新一轮的价值20亿美元的对乌克兰军事援助计划。美国国防部长奥斯汀称，美国将“一直支持乌克兰”。据美国有线电视新闻网（CNN）消息，本轮援助计划包括为乌克兰提供“海马斯”火箭炮系统使用的常规火箭弹和精确制导火箭弹，155毫米口径炮弹，包括“弹簧刀-600”在内的多款无人机产品，以及反无人机设备等武器装备。美媒称，本轮援助将通过乌克兰安全援助计划实现，该计划允许美国政府与军工企业签署采购合同，因此这些武器装备无法在短时间内提供给乌克兰。同日，五角大楼官网还刊登了奥斯汀关于俄乌冲突爆发一周年的相关声明。声明透露，美国在过去一年时间里，向乌克兰提供或承诺提供了价值超过320亿美元的军事援助，主要包括超过1600套“毒刺”防空系统，超过8500套“标枪”反坦克导弹系统，232门榴弹炮与超过200万枚炮弹，38套“海马斯”火箭炮和相关弹药，1套“爱国者”防空系统，8套挪威先进地对空导弹系统（NASAMS），109辆“布拉德利”步兵战车；31辆“艾布拉姆斯”主战坦克，以及90辆“斯特赖克”装甲车。除了美国提供的军事援助外，美国还协助其他国家向乌克兰提供或承诺提供了价值超过200亿美元的军事援助。2月21日，中国外交部发言人汪文斌曾表示，美方口口声声要维护和平，实际上却大发战争财。美国的军工企业从乌克兰战场赚得盆满钵满，良心何在？美方曾在阿富汗推行要战斗到最后一个阿富汗人的政策，难道今天还要让乌克兰战斗到最后一个乌克兰人吗？汪文斌指出，事实早已撕下了美国“和平捍卫者”的假面具，暴露了其唯恐天下不乱的真面目。美方应当切实反思自身所作所为，停止再做拱火浇油趁火打劫，趁机牟利的事情，和中方一样，真正致力于劝和促谈。,军事
9,投资400亿美元去美国建厂？这家台企尴尬了……,原标题：投资400亿美元去美国建厂？这家台企尴尬了……你知道“世界上的第八大奇迹”是什么吗？——假如这个问题在5年前被提出，时任美国总统特朗普就会毫不犹豫地告诉你，这个“第八大奇迹”是由中国台湾企业富士康在美国威斯康星州投资100亿美元建设、并将创造1.3万个就业岗位的大工厂。但尴尬的是，短短几年后，这个“第八大奇迹”就大幅缩水，不仅投资额锐减到了6亿美元，而且最多仅能给当地创造1000多个就业机会——甚至于有美国当地媒体发现，这个项目已经沦为了一个半死不活的“面子工程”，被雇佣的工人到底在干什么都成了一个谜。然而，另一家曾于2020年宣布要在美国建厂的中国台湾知名企业，如今很可能也要陷入与富士康公司同样尴尬的境地。这家即将步富士康后尘的台企，是台湾知名芯片制造商台积电。据美国《纽约时报》报道，台积电于2020年5月宣布将在美国的亚利桑那州投资120亿美元建设一个大型芯片工厂。而在去年12月，台积电又宣布会追加投资到400亿美元，并会让美国的工厂采用先进的芯片制程工艺。不仅如此，这个项目不仅在当时被美国舆论视作是特朗普的“政绩”，而且在现任美国总统拜登上台后，又得到了拜登政府的“加持”——拜登本人甚至在台积电宣布追加投资到400亿后，专门去亚利桑那考察了这处工厂。然而，《纽约时报》报道称，台积电内部人员却并不看好这个项目。有多达11名的台积电雇员在接受该报采访时“吹哨”称，这个项目是一个“差劲的商业项目”，不仅项目成本过高，还可能会分散台积电在研发和创新上的注意力。同时，一些台积电的员工还表示，他们并不太愿意为了这个项目而搬到美国去，担心会不适应那里的文化，而这又反映出台企在美国的文化冲突和管理困境。更尴尬的是，《纽约时报》采访的一家投资公司的高管直言不讳地表示，台积电在美国的这个项目从商业的角度来看“毫无意义”。该高管甚至怀疑台积电是在出于某些政治考量而“被迫”在美国建厂的，但这个项目目前来说几乎没有给台积电带来任何好处。与此同时，已经在亚利桑那州投资了3亿美元建设了一家化工厂的台湾长春集团在当地的负责人亦表示，在美国建厂的成本要比在台湾建厂高出10倍，这其中既有因为不熟悉美国监管制度而要支付的额外费用，还有原材料供应不足所带来的额外成本。对此，《纽约时报》分析称，尽管台积电想在中美高科技竞争中寻找一条对自己有利的出路，对冲其中的地缘政治风险，然而该公司却发现自己陷入了新的尴尬之中。另外，该报还称，如果台积电在亚利桑那州的这个工厂不能取得成功，除了对台积电来说是一个很大的损失，这对美国在发展高端芯片制造业方面也是一个挫败。不过，台积电官方在台面上还在维护着这个项目。该公司的一名发言人在接受《纽约时报》采访时并没有回应公司内部人员的这些顾虑，而是表示在美国建厂的这个项目是基于客户的需求、市场机会和吸引人才等等。该发言人还表示，台积电公司认为美国的这个项目从长远来看能带来回报。最后，负责承建台积电在亚利桑那州工厂的其中一家工程建筑公司的负责人对《纽约时报》表示，该工厂的建设成本目前已经“远远超过了”台积电的预期。该负责人还表示，当他告诉了客户这个情况时，对方的回应是“你们是疯了吗？”,军事
