,col1,col2,col3
0,东欧组合5战1胜 Skip：东契奇感觉不再是老大,北京时间3月2日，昨天东欧组合参加了二人合并以来第5场比赛，2分惜败于步行者。东欧组合成型以来，二人合并的比赛1胜4负，仅赢了马刺。Skip Bayless赛后表示，东契奇已感觉自己不是达拉斯的老大了。昨日NBA常规赛，独行侠在主场以122-124惜败于步行者。比赛最后时刻，欧文后撤步绝杀三分打到前筐，独行侠2分惜败！对此，Skip在自己的节目《UNDISPUTED》中说道：“我现在很尊重东契奇在禁区得分的那种基因。我有一种强烈的感觉，东契奇现在情绪不佳。比如，在波士顿，塔图姆是球队老大，我喜欢杰伦-布朗，但我认为塔图姆是老大。而达拉斯曾经的老大是东契奇。现在他们（东欧）在一起已经打了5场比赛了。在这五场比赛的第四节和加时赛，欧文共出手了41次，而东契奇共出手30次。东契奇不再是达拉斯独行侠的老大了。”（魑魅）,篮球
1,大将军：大鲨鱼被大梦暴揍 就像怀斯曼被群殴,北京时间3月2日，近日，前NBA球员阿里纳斯在《Gil‘s Arena》节目中谈到了当年奥拉朱旺暴揍奥尼尔，就像约基奇、恩比德、扬尼斯-阿德托昆博痛揍怀斯曼。阿里纳斯表示：“80年代的奥拉朱旺能打败90年代的奥拉朱旺吗？不能。然后又有人说奥拉朱旺在总决赛打爆了奥尼尔，奥拉朱旺前一年刚拿了MVP，奥尼尔才三年级，这就好比约基奇、恩比德、扬尼斯打爆怀斯曼一样。很明显，这TM很明显啊，你说的都是废话。”1995年总决赛，火箭4-0横扫魔术夺冠，奥拉朱旺的数据为32.8分11.5篮板5助攻2抢断2盖帽，奥尼尔则为28分12.5篮板6.3助攻0.3抢断2.5盖帽。拿怀斯曼来和奥尼尔作比较有些过，阿里纳斯应该说的只是二人实力上的差距。（魑魅）,篮球
2,KD：我有1000场比赛没打 感觉自己适应得很好,北京时间3月2日，NBA常规赛继续，太阳在客场以105-91战胜黄蜂。赛后本场伤愈复出迎来太阳首秀的杜兰特在场边接受了采访。谈到首秀时，杜兰特打趣道：“我很紧张，我有1000场比赛没打了。今天我很紧张。来到一支新的球队、新的团队，我想表现好，为他们努力打球，并听从教练指导。”杜兰特上一次出战是在1月9日。此役，杜兰特上阵26分钟15投10中，三分4中2、罚球1中1，拿下23分6篮板2助攻2盖帽，正负值为+13。赛后，杜兰特在接受采访时表示：“我感觉自己适应得相当好，场上每位队友都努力让我尽可能的打球舒服，我只需要保持下去，伙计。”“我觉得我融入得很好，每个人都在尽量让我打得更自如。我得继续努力，伙计。随着比赛的进行，我穿这件球衣就会看起来正常了。”（魑魅）,篮球
3,英格拉姆40分利拉德41分 鹈鹕胜开拓者止4连败,北京时间3月2日，NBA常规赛，鹈鹕121-110力克开拓者，鹈鹕终结4连败。鹈鹕（31-32）：英格拉姆40分6篮板5助攻、麦科勒姆24分7篮板7助攻、海斯15分4篮板开拓者（29-33）：利拉德41分8篮板、格兰特28分4篮板3助攻、雷迪什13分3篮板、塞布尔12分8篮板4助攻4盖帽首节比赛，双方比分焦灼，英格拉姆单节14分，鹈鹕仍然落后2分结束首节。第二节，分差依旧没有拉开。半场结束时，开拓者领先鹈鹕3分。第三节，双方展开对轰，比分交替领先，利拉德单节得到15分仍拉不开比分。末节，开拓者失准，鹈鹕完成反超并逐渐取得两位数的领先。最终，鹈鹕121-110力克开拓者。（修楚）,篮球
4,[NBA]湖人123-117雷霆,,篮球
5,[NBA]灰熊113-99火箭,,篮球
6,[NBA]魔术117-139雄鹿,,篮球
7,[NBA]骑士113-117绿军 塔图姆41分+11板,,篮球
8,[NBA]篮网118-142尼克斯,,篮球
9,字母哥31分霍勒迪23+9 雄鹿克魔术豪取16连胜,北京时间3月2日，NBA常规赛，雄鹿139-117魔术，雄鹿豪取16连胜继续稳居联盟第一。雄鹿（45-17）：字母哥31分7篮板6助攻、霍勒迪23分4篮板9助攻、洛佩斯18分3篮板、英格尔斯16分、格林12分、阿伦12分5篮板4助攻、康诺顿10分6篮板魔术（26-37）：安东尼28分7篮板4助攻、富尔茨21分7篮板5助攻、温德尔-卡特19分10篮板、小瓦格纳18分、班凯罗9分7篮板5助攻首节比赛，雄鹿占得先机，节末魔术不断追分，雄鹿领先2分结束第一节。第二节，双方展开对轰，雄鹿单节攻下45分。半场结束时，雄鹿领先魔术10分。第三节，雄鹿继续拉大分差。末节，分差被越拉越大，比赛失去悬念进入垃圾时间。最终，雄鹿139-117魔术。（修楚）,篮球
