,col1,col2,col3
0,亿都(国际控股)3月2日斥资约63.67万港元回购21.6万港元,亿都（国际控股）（00259）发布公告，该公司于2023年3月2日斥资约63.67万港元回购21.6万港元，回购价为每股2.88港元-3.01港元。责任编辑：卢昱君,股市
1,彩星集团3月2日注销43.6万股已回购股份,彩星集团（00635）发布公告，该公司于2023年3月2日注销43.6万股已回购股份。责任编辑：卢昱君,股市
2,品质好 位置好 配套好 “三好楼盘”深圳远洋天著迎来提前交付,买对房，并不是一件容易的事。面对预售时代“美颜”过的展示区，未来实际交付始终保留着些许“不确定性”，而伴随近两年来楼市大环境变化，这份不确定性更是多添了几分。但每一次调整都是试金石，对于开发商而言，楼市的每一轮周期变化，既是挑战，同样也可以是机遇。这个过程中，有房企选择了躺平，但那些依旧坚持用心打磨产品，按时按质乃至超标交付的企业。凭借确定性，收获的无疑是实力的直观展示和品牌口碑的急速积攒。位于南山的改善盘远洋天著便是展示这份“确定性”的典型代表。远洋天著的一次高水准实力展示作为西丽标杆楼盘，远洋天著已于3月1日开始交付。从实探了解的情况来看，整个楼盘的状态已非常惊艳，细节之处也均呈现出极高的品质感，尽显标杆楼盘实力。那么，远洋天著具体带来了哪些惊喜？项目实景图项目给人的第一印象，是“重本”，这也是保证品质感的关键。从大门立柱、园林内的石阶梯、石地面到入户大堂、电梯厅墙地等，均大面积、大比例使用各类石材，并就石材的颜色、纹路等进行仔细且严格的甄选和搭配，仅视觉感受上，便是扑面而来的厚重品质感。项目实景图作为小区门面的大门入口，同样是项目重本之下品质感的又一直观呈现。远洋天著的大门拥有着平行于丽山路约10米的超高挑高，待华灯初上，上方灯光点缀，似点点星光，更添一份恢弘气势。两侧质感十足的石材墙面则以天书般展开，与“天著”之名呼应的同时，也多添了几分观赏性。如此气势磅礴的主入口，于深圳并不多见。项目实景图与气势宏伟的主入口相呼应，还有远洋天著引人注目的外立面。采用豪宅惯用风格，类玻璃幕墙辅以高级色调的铝板，形成公建化外立面效果，品质感呼之欲出。目前深圳也仅有一些高端住宅才会采用公建化立面造型手法。而值得注意的是，远洋天著的外立面又不仅仅是常规豪宅的玻璃+单色铝板组合，为增强建筑体美感，项目还额外配以了局部金色铝板，宛若金线镶嵌，使呈现效果更加惊艳。局部的金色呼应以博士帽为设计理念的高层外观，亦有着“金色加冕”之意。外立面实景这些为呈现更好状态不惜财力与精力增配的各种衍生化细节，不断带来额外惊喜。诸如此类还有包括如对内部园林部分铺设的纹路石材进行精心挑选，以搭配组合成观感更佳的画面；不同于传统楼栋大堂的平铺石材，通过对墙面石材进行一定设计，打破单调感等。过去一两年来，行业环境变化明显，但从远洋天著所呈现的品质感来看，项目并未因市场行情、建材价格波动等而降本降质，仍一以贯之坚持高质量输出，足以见其用心。值得一提的还有项目的“健康概念”。远洋天著严格落地《远洋健康建筑体系》，覆盖楼体健康、园区健康、室内健康、文化健康等四大板块。从园区内种植的多种康本保健植物，到整个施工过程中的尽可能少污染化，远洋的健康概念贯穿始终。以施工工艺为例，主材料之外，易被忽视的装修辅材其实一直都是室内空气污染的重要来源，比如最常见的胶水。所以在远洋的施工过程中，一直坚持着少胶工艺。室内实景图02一份真正意义上的参考2022年，“保交楼”的声声口号中，不仅要交楼，交付时间的快慢也渐成了部分项目竞争的点，谁能提前的越早，似乎越能彰显开发商实力。一片高调的提前收楼浪潮声中，远洋天著的部分业主对整体工程进度也颇为关注。对此，远洋天著详细与业主沟通项目进程，邀请业主参观项目等也成为远洋一大工作内容。截至目前，已有上百批业主参观了小区实景。小区实景图项目方表示，参观完的业主中有不少已直接表示可以收楼。“我们可能是罕见的业主说可以交付还在打磨的项目吧”对方对此提到。在约定期间内，尽力做到将最好的品质交由业主，远洋天著给到市场的，或才是一份真正意义上的交付参考。作为标杆楼盘，远洋天著除了产品本身打造要遵循超高水准外，项目其他条件同样优质也是关键。远洋天著位于公认的价值高地——南山区。2022年南山区GDP已正式跨越8000亿元，范围内上市企业突破200家，上市企业密度为目前全国第一。项目所在的南山西丽，更是现阶段下南山的重点发展板块。仅科教城便汇聚着深圳半数以上的高校，聚集了中国科学院深圳先进科技研究院、国家超算深圳中心、9家诺奖科学家实验室等高层次创新平台，培育了中兴、大疆等一批创新型领军企业．．．．．．至今已举办两届的西丽湖论坛，也成为国际科技开放合作的重要平台、引领经济社会高质量发展的重要力量。第二届西丽湖论坛远洋天著坐落于大学城旁，成为高素质人群的青睐地；同时于环绕的大沙河公园、西丽水库以及塘朗山间，亦享有着整个西丽片最核心山水资源。片区俯瞰图而当我们从片区广阔的发展前景，与绝佳的山水生态短暂抽离出来，把目光回归于生活本身，项目则又继续铺开了一幅全能生活图景。一路之隔便是远洋早前代建的益田假日里购物中心，体量约5万㎡，可一站式满足基本购物需求。一路之隔的益田假日里便捷的交通环境还在进一步拓宽项目业主的生活半径。远洋天著紧靠留仙大道，开车出行十分便捷，且坐拥5号线、7号线双地铁线。其中，5号线大学城站即在项目楼下，3站可直达深圳北，可以高效去往深圳西部等多个核心板块。未来，待西丽高铁枢纽投入使用，通达度将继续跃升。深圳家长最“卷”的教育方面，项目同样可以一站式解决。小区自带一所九班幼儿园，对口中小学为九年一贯制的南山区第二外国语学校（集团）平山学校，项目东侧邻近西丽大学城，整体教育氛围非常浓郁。另外值得一提的是，在老龄化不断加剧背景下，针对老年人的医疗、养老问题，远洋天著同样展示出了罕有的优势。小区内部配套了社康中心、老年日照中心等，便捷解决着基础医疗及父母居家养老问题。可以说，无论是项目本身的品质感、所在区域的价值呈现，还是项目所塑造出的丰富生活场景，远洋天著都给业主准备了一份超预期惊喜。而从3月1日开始，这份惊喜也正迎来兑现期。责任编辑：刘万里 SF014,股市
3,加息预期升温，欧美股债齐跌，10年期美债收益率突破4%后继续走高,来源：华尔街见闻 赵颖欧美通胀居高不下，加息预期持续升温，纳指期货一度跌超1%，欧债、美债收益率普遍走高。3月2日周四，欧美加息预期持续升温，欧央行行长拉加德预计3月加息50基点，野村喊话美联储3月加速加息。随着加息预期走高，欧美股债承压，欧股、美股指期走低，纳指跌超1%，欧债、美债收益率普遍走高。加息预期持续升温欧美通胀居高不下，加息预期持续升温。法国和西班牙通胀超预期，德国2月通胀意外加速至9.3%，拉加德重申，欧洲央行3月份将加息50个基点，并表示将采取一切必要措施来遏制通胀。当前，市场完全定价欧央行利率峰值将达4%。美国方面，“去年首家喊出加息75基点”的野村再度作出大胆预测，高通胀将迫使美联储3月加息50基点，并预计利率峰值预期中值调升5.625%。惠誉预计美国利率将升至5.5%，欧元区达到4%，预计德国和意大利将在今年晚些时候出现衰退，美国经济将在今年临近年末时出现轻度衰退。欧股、美股指期走低在加息预期重压下，市场继续下行。美股股指期货跌幅扩大，纳指期货一度跌超1%，目前跌0.88%，标普500指数期货跌0.72%，道指期货跌0.14%。欧股集体低开，德国DAX30指数跌幅一度扩大至1%，法国CAC40指数、欧洲斯托克50指数跌0.6%，英国富时100指数跌0.23%。欧债、美债收益率普遍走高美债、欧债也加速下挫，10年期美债收益率突破4%达到4.03%，短期利率甚至飙升得更高，2年期美债收益率升至4.91%，此前一度突破5%。欧元区10年期国债收益率普遍走高，意大利10年期国债收益率日内涨1.65%，报4.640%；法国10年期国债收益率上涨1.42%，报3.243%；德国10年期国债收益率上涨1.86%，报2.764%；西班牙10年期国债收益率上涨1.36%，报3.799%。责任编辑：郭明煜,股市
4,医药卫生界共237人当选第十四届全国人大、政协委员（附名单）,来源：E药经理人随着党的二十大胜利召开，全党全国各族人民迈上全面建设社会主义现代化国家新征程、并继续向第二个百年奋斗目标进军。习近平总书记在党的二十大报告中强调，高质量发展是全面建设社会主义现代化国家的首要任务。同时，二十大报告中还强调要推进健康中国建设，并对保障人民健康、深化医药卫生体制改革等做出了一系列重大论述和重大部署。2023年不仅是二十大后开启新征程的第一年，也是十四届全国人大代表和全国政协委员的全新亮相。近日，政协第十四届全国委员名单和第十四届全国人大代表名单陆续公布，医药界新当选的医药界全国人大代表政协委员引人关注。据不完全统计，第十四届全国人大代表来自医药界的共计38位，来自卫生界73位。其中，连任的代表有17位，扬子江药业集团党委书记、董事长、总经理徐浩宇、广州医药集团有限公司党委书记、董事长李楚源、老百姓大药房连锁股份有限公司董事长谢子龙等医药企业家首次当选。据不完全统计，第十四届全国政协委员来自医药界的共计20位，来自卫生界106位。其中，连任的委员有5位，云南鸿翔一心堂药业（集团）股份有限公司 董事长兼总经理阮鸿献、上海医药集团股份有限公司董事长周军、河南羚锐制药股份有限公司总经理熊伟等医药企业家首次当选。由27家中国医药行业协（学）会主办的2023“声音·责任”医药卫生界人大代表政协委员座谈会将于2023年3月4日在北京召开。座谈会自2009年举办以来，每年均得到医药界全国及省（市、自治区）人大代表政协委员的积极响应和支持，医药行业相关政府主管部门亦对座谈会给予高度重视。十多年来，座谈会传递了行业呼声，为不断优化行业发展环境做出了重要贡献。如下述名单中有遗漏，欢迎评论区留言。附医药界第十四届全国人大代表政协委员不完全名单责任编辑：常福强,股市
5,2月全球资产复盘：欧股闪耀，白银垫底,文章来源：华尔街见闻各类资产都在涨的“疯狂的1月”并未能持续，纵观整个2月，股债汇及大宗商品大多出现不同程度的下跌，其中债券创1990年以来最差表现，而欧洲股市却表现出较强韧性。德银分析师Henry Allen在其2月评估报告中解释道，美国及欧洲各国1月经济数据的超预期上行，使市场对美联储及欧洲央行加息预期发生了转变，现在市场普遍认为美国经济或将“不着陆”：“不着陆”意味着，尽管美联储大幅加息，但经济保持增长、劳动力市场强劲和通胀难以消退，在此预期下，2月的债券表现无疑是糟糕的，且这也意味着强势美元的回归，但欧洲股市在全球股市普遍下跌的情况下表现出韧性。2月伊始，市场情绪延续了1月的疯狂，但自2月3日，美国公布了大超预期的1月非农就业人数及创53年新低失业率，一切就发生了逆转，这些数据引发了人们对持续高通胀的担忧。截至2月28日，市场对于美联储利率峰值的预期在过去一个月中飙升了60个基点，同时，市场对2023年12月美联储议息会议的定价利率，也从4.48%上升到5.28%，1个月内增加了80.5个基点。2月各类资产表现盘点哪些资产在 2 月份涨幅最大？哪些资产在2月表现最差？美国股市：与欧洲股市不同，美国股市在进一步加息的前景下回落。标准普尔500指数下跌2.4%，纳斯达克指数下跌 1.0%，道琼斯指数下跌 3.9%。标普500从年初至今的涨幅回落至3.7%。各国国债：美国国债下跌2.4%、欧元区国债下跌2.3%，回吐1月大部分涨幅，英国国债下跌3.3%。新兴市场资产：在1月份强劲表现后，新兴市场资产2月表现不佳。股票方面，MSCI 新兴市场指数下跌6.5%。新兴市场债券也回落，跌幅为 -2.7%。而新兴市场外汇则下跌了1.7%。大宗商品： 2月份所有主要大宗商品类别均下跌。能源方面，欧洲天然气暴跌18.6%，布伦特原油下跌0.7%、WTI原油下跌2.3%；金属也表现不佳，铜下跌3.0%，黄金下跌5.3%，均为连续三个月上涨后下跌。农产品下跌趋势明显，玉米下跌7.4%、小麦下跌9.2%的。责任编辑：李园,股市
6,北向资金净买入7.65亿元 隆基绿能净卖出额居首,北向资金今日净买入7.65亿元。汇川技术、泸州老窖、科大讯飞分别获净买入3.69亿元、2.81亿元、2.63亿元。隆基绿能净卖出额居首，金额为6.34亿元。责任编辑：张海营,股市
7,方证券：地标农产品品牌化上行趋势确定 关注新东方-S及新东方在线,东方证券发布研究报告称，地标农产品品牌化上行趋势确定，国家通过产品目录、标准认证等手段已经提升上游的标准化和品牌化能力，上游松散和规模有限议价能力弱，渠道品牌提升农产品效率作用突出。短期来看，该行看好东方甄选品牌在抖音生态内品类拓展带来的高速增长，中长期来看，自营SKU和供应链能力持续发力，伴随着内容投入，农产品渠道品牌领军地位稳固后，多渠道拓展有望成功，长期成长性突出。投资建议：关注东方甄选控股公司新东方-S（09901）及新东方在线（01797）。东方证券主要观点如下：抖音电商内达人竞争激烈，东方甄选具有达人+品牌双重属性。大的维度来看，平台的扶持方向更多向品牌账号倾斜，品牌自播增长更快，达人生态在抖音较为成熟，其中超头部主播具有稳定性同时保持稳定增长（22年边际受到疫情&东方甄选的竞争，增速有所下滑），反而中腰部竞争激烈。东方甄选属性上兼具“达人”+“品牌”的双重优势。东方甄选在人均停留时长、货品丰富度、流量利用效率更贴近达人属性，而主播管理、自营产品、内容管理更贴近于品牌，兼具两者优势。优质内容持续输出能力强，构建起高频持续和低频爆款的内容供给体系。流量、单位流量利用效率是两个关键指标。从流量来看，直播间高质量内容造就【高观看量+长时间人均停留】，流量已经位列台头部。该行将东方甄选的内容供给分为高频可持续和低频爆款。高频内容——日常直播中的才艺展示、剪辑的短视频内容、经典语录够构成了东方甄选额高频的内容输出，不断脱颖而出的新主播保证了优质内容的持续迭代。低频爆款——引入优秀名人作家进入直播间访谈、外景深入城市地标、优质的中长视频制作这三种成熟手段，不仅仅带来直播间短期流量，同时也是通过优质爆款内容持续提升“东方甄选”的品牌属性，提升长期消费者认知。地标农产品品类上行趋势清晰，东方甄选卡位渠道品牌。该行认为拓品类只是东方甄选成长的一部分，长期空间依然来自公司农产品科技公司定位，而该定位非常贴合行业趋势。国家已经构建起“三品一标”、“区域公用品牌”、“企业和产品品牌”的农产品评价体系，推动农产品品牌化。地理因素导致产业供给规模受限、地域分散且难以标准化，地标农产品与内容电商适配度高，21年以来内容电商增速显著高于货架电商，东方甄选成长恰逢其时。在规模上，21年绿色产品和有机产品市场销售额分别为5219/952亿，全国绿色有机地理标志农产品产品总数超过6.3万个，地标农产品可挖掘空间大。在价值上，东方甄选通过自营模式切入农产品自营品牌，依托自身品牌认知，降低消费者选择成本，赋能农产品流通，在产业链中价值突出。产品和供应链仍有提升空间，主动流量和内容投入有望助力渠道拓展。短期来看，东方甄选的成长性，来自于矩阵账号的品类拓展，购物节模式带来流量显著增长，相比同类直播间仍未穷其所有。从中期来看，对标头部渠道品牌，在SKU和供应链体系仍有差距，公司加大自营产品和供应链体系的搭建，疫情影响减弱后，有望带来销售额的向上弹性。长期来看，渠道拓展依然是公司最具有成长性的看点，优质的内容投入维系核心消费者用户认知，主动的流量投入依然是备选手段，产品、供应链、内容和流量为公司后期成长奠定更高的安全垫。风险提示：生态内流量不稳定，整体流量增长有限，农产品电商增长不及预期；监管政策趋严、行业竞争加剧。责任编辑：李双双,股市
8,瑞信：予中国铁塔跑赢大市评级 目标价1港元,瑞信发布研究报告称，予中国铁塔（00788）“跑赢大市”评级，目标价1港元。截至2022年12月底，公司塔类站址数共205.5万个，同比净增1.7万个，运营商塔类租户达336.2万户，同比增加10.2万户。报告中称，公司去年第四季总营业收入为234.88亿元人民币（下同），同比增长6.8%，较该行预期少0.4%。当中，塔类业务收入为192.51亿元，同比增1.7%，较预期低1.5%；纯利同比增15.2%至23.88亿元，较该行预期低0.4%；EBITDA同比跌2.2%至153.84亿元，EBITDA利润率跌6个百分点至65.5%。责任编辑：李双双,股市
9,高盛：予百威亚太买入评级 目标价29港元,高盛发布研究报告称，予百威亚太（01876）“买入”评级，目标价29港元。公司去年收入胜于预期，主因或是印度销售势头强劲，但印度业务EBITDA贡献仍然较小，而且中国业务EBITDA利润率受压。该行指出，随着原材料成本压力在今年缓解，百威亚太的啤酒将继续进行高端化，而且公司将受惠中国娱乐场所的重新开放。该行认为目前的估值具吸引力，因为按预估市盈率计算，仍低于行业平均水平。报告中称，虽然该行认为百威亚太的中国业务在中期内可能仍会落后中国行业高端市场增长，但因为它的基数将会更大，相信公司将继续在中国高端市场占据领先地位，其高端产品组合将在更多城市快速扩张。同时预计在未来几年内，随着防疫限制继续优化，韩国市场将出现强劲的复苏。责任编辑：李双双,股市
