,col1,col2,col3
0,亿都(国际控股)3月2日斥资约63.67万港元回购21.6万港元,亿都（国际控股）（00259）发布公告，该公司于2023年3月2日斥资约63.67万港元回购21.6万港元，回购价为每股2.88港元-3.01港元。责任编辑：卢昱君,财经
1,彩星集团3月2日注销43.6万股已回购股份,彩星集团（00635）发布公告，该公司于2023年3月2日注销43.6万股已回购股份。责任编辑：卢昱君,财经
2,加息预期升温，欧美股债齐跌，10年期美债收益率突破4%后继续走高,来源：华尔街见闻 赵颖欧美通胀居高不下，加息预期持续升温，纳指期货一度跌超1%，欧债、美债收益率普遍走高。3月2日周四，欧美加息预期持续升温，欧央行行长拉加德预计3月加息50基点，野村喊话美联储3月加速加息。随着加息预期走高，欧美股债承压，欧股、美股指期走低，纳指跌超1%，欧债、美债收益率普遍走高。加息预期持续升温欧美通胀居高不下，加息预期持续升温。法国和西班牙通胀超预期，德国2月通胀意外加速至9.3%，拉加德重申，欧洲央行3月份将加息50个基点，并表示将采取一切必要措施来遏制通胀。当前，市场完全定价欧央行利率峰值将达4%。美国方面，“去年首家喊出加息75基点”的野村再度作出大胆预测，高通胀将迫使美联储3月加息50基点，并预计利率峰值预期中值调升5.625%。惠誉预计美国利率将升至5.5%，欧元区达到4%，预计德国和意大利将在今年晚些时候出现衰退，美国经济将在今年临近年末时出现轻度衰退。欧股、美股指期走低在加息预期重压下，市场继续下行。美股股指期货跌幅扩大，纳指期货一度跌超1%，目前跌0.88%，标普500指数期货跌0.72%，道指期货跌0.14%。欧股集体低开，德国DAX30指数跌幅一度扩大至1%，法国CAC40指数、欧洲斯托克50指数跌0.6%，英国富时100指数跌0.23%。欧债、美债收益率普遍走高美债、欧债也加速下挫，10年期美债收益率突破4%达到4.03%，短期利率甚至飙升得更高，2年期美债收益率升至4.91%，此前一度突破5%。欧元区10年期国债收益率普遍走高，意大利10年期国债收益率日内涨1.65%，报4.640%；法国10年期国债收益率上涨1.42%，报3.243%；德国10年期国债收益率上涨1.86%，报2.764%；西班牙10年期国债收益率上涨1.36%，报3.799%。责任编辑：郭明煜,财经
3,2月全球资产复盘：欧股闪耀，白银垫底,文章来源：华尔街见闻各类资产都在涨的“疯狂的1月”并未能持续，纵观整个2月，股债汇及大宗商品大多出现不同程度的下跌，其中债券创1990年以来最差表现，而欧洲股市却表现出较强韧性。德银分析师Henry Allen在其2月评估报告中解释道，美国及欧洲各国1月经济数据的超预期上行，使市场对美联储及欧洲央行加息预期发生了转变，现在市场普遍认为美国经济或将“不着陆”：“不着陆”意味着，尽管美联储大幅加息，但经济保持增长、劳动力市场强劲和通胀难以消退，在此预期下，2月的债券表现无疑是糟糕的，且这也意味着强势美元的回归，但欧洲股市在全球股市普遍下跌的情况下表现出韧性。2月伊始，市场情绪延续了1月的疯狂，但自2月3日，美国公布了大超预期的1月非农就业人数及创53年新低失业率，一切就发生了逆转，这些数据引发了人们对持续高通胀的担忧。截至2月28日，市场对于美联储利率峰值的预期在过去一个月中飙升了60个基点，同时，市场对2023年12月美联储议息会议的定价利率，也从4.48%上升到5.28%，1个月内增加了80.5个基点。2月各类资产表现盘点哪些资产在 2 月份涨幅最大？哪些资产在2月表现最差？美国股市：与欧洲股市不同，美国股市在进一步加息的前景下回落。标准普尔500指数下跌2.4%，纳斯达克指数下跌 1.0%，道琼斯指数下跌 3.9%。标普500从年初至今的涨幅回落至3.7%。各国国债：美国国债下跌2.4%、欧元区国债下跌2.3%，回吐1月大部分涨幅，英国国债下跌3.3%。新兴市场资产：在1月份强劲表现后，新兴市场资产2月表现不佳。股票方面，MSCI 新兴市场指数下跌6.5%。新兴市场债券也回落，跌幅为 -2.7%。而新兴市场外汇则下跌了1.7%。大宗商品： 2月份所有主要大宗商品类别均下跌。能源方面，欧洲天然气暴跌18.6%，布伦特原油下跌0.7%、WTI原油下跌2.3%；金属也表现不佳，铜下跌3.0%，黄金下跌5.3%，均为连续三个月上涨后下跌。农产品下跌趋势明显，玉米下跌7.4%、小麦下跌9.2%的。责任编辑：李园,财经
4,俄乌冲突一年之后，天然气危机远去了吗？,21世纪经济报道记者彭强 北京报道截至目前，2022年初爆发的俄乌冲突已经持续了超过一年时间，期间经历大起大落的全球天然气价格，近期已经重新回归供需基本面。特别进入今年2月以后，全球天然气价格继续显著回落，欧洲天然气价格较去年的最高点降幅超过八成，整体价位已经回到冲突前的水平，东北亚和美国的天然气价格也持续下滑。这是否意味着困扰市场已久的天然气危机，已经远去？业内人士指出，天然气价格的回落与各地的高库存、温和天气导致取暖需求减少、高气价压抑需求等因素相关。尽管近期气价已经显著回落，且各地库存也保持在较高水平，但天然气在能源结构中的重要性愈加凸显，下一个冬季的天然气供需情况，仍难言乐观。全球气价高位回落2021年开始，全球经济在疫情的影响中逐渐恢复，以石油、天然气和煤炭为代表的大宗商品价格一路不断走高，全球气价尤其是欧洲气价涨至往年水平的数倍以上。2022年2月，俄乌冲突的爆发导致市场恐慌情绪骤增，天然气价格再度猛涨。到去年8月，欧洲天然气期货价格一度飙升至近350欧元/兆瓦时，这一数值超过了此前数年平均价格的二十倍。在欧洲天然气危机的带动下，全球气价出现同步上涨，刷新数年来的新高。但在去年8月创下历史最高点之后，以欧洲天然气为首的全球气价却进入了下跌的区间。到今年2月，欧洲天然气价格已经跌至50欧元/兆瓦时以下，较去年8月最高点降幅超八成。根据金联创统计的数据，截至3月1日，东北亚液化天然气（LNG）即期期货交付价格跌至14美元/百万英热附近，而在去年8月该值曾高达50美元/百万英热；纽约天然气期货价格为2.747美元/百万英热，去年8月的最高价曾超过10美元/百万英热。金联创天然气分析师王亚飞对21世纪经济报道记者表示，近期全球气价回落受多重因素影响，一是全球各地气温较历史同期异常偏高，导致燃气供暖需求疲软，二是欧洲、美国以及东北亚等地的天然气库存处于高位，现货采购需求疲软，三是美国去年底经历超强风暴后，天然气产量迅速恢复且保持高位，对欧洲出口也保持强劲。2022年，随着俄罗斯天然气逐渐从欧洲退场，美国大量向欧洲运送LNG产品，成为全球最大的LNG出口国之一。去年冬季以来，欧盟加大了LNG资源的储备，采取多种措施削减需求，最终加上相对温和天气的助力，最终度过了2022年冬天的潜在天然气危机。中国市场也出现类似情况。2022年，中国国内的天然气产量仍在增长，但由于进口高价气压制需求，同时也受到疫情等多种因素的影响，全国天然气消费量首次出现下降，LNG进口量也出现7年来首次下滑。根据国家发改委、国家统计局以及海关总署公布的数据，2022年，全国天然气表观消费量为3663亿立方米，同比下滑1.7%；全国天然气产量为2201.1亿立方米，同比增长6%；去年国内进口天然气总量为10924.8万吨，同比下降9.9%，其中LNG进口量下降19.5%。天风证券分析师张樨樨指出，近期美国气价的下滑，主要是由于欧洲天然气胀库，对LNG需求有所放缓，美国LNG出口减少，叠加美国天然气产量保持增长，而中游的基础设施建设滞后等因素。过去一年里，欧美多国多次在石油及煤炭领域对俄施压，但天然气领域则是俄罗斯方面占据主动压减出口量，欧盟到目前为止并未出台对于俄罗斯天然气进行禁运或限制采购的措施。天然气危机尚未走远分析人士认为，目前来看，今年上半年的全球天然气供需形势较去年要更为宽松，但下一个冬天各地仍将面临挑战，欧洲更加依赖LNG资源，这也将加剧国际市场的LNG采购竞争。全球天然气市场“牛熊市”转变的历程，也反映出俄乌冲突之后，欧盟与俄罗斯决裂而导致的全球天然气贸易版图的重新排布：俄罗斯将目标从西欧转向了亚洲，欧盟则面向北美、中东北非寻求天然气合作，加大了国际市场LNG资源的争夺。在俄乌冲突之前，亚太地区是全球LNG贸易的主要增量来源，中国和日本是地区最大的LNG进口国家之一；但俄乌冲突之后，欧洲成为全球LNG贸易的一个新增变量。能源巨头壳牌在其发布的2023《液化天然气（LNG）前景报告》中指出，欧洲国家对LNG进口需求的大幅增长，将加剧全球市场的竞争。国际能源署（IEA）署长Fatih Birol此前接受媒体采访时表示，尽管天然气价格大幅下跌，但欧洲并未赢得与俄罗斯的能源角力，各国政府仍应当继续专注于减少需求和增加供应。Fatih Birol警告称，俄罗斯可能会削减其通过乌克兰和土耳其管道向欧洲输送的剩余管道天然气供应，而随着亚洲国家需求的回升，海运LNG供应的竞争可能会加剧。作为全球主要天然气出口国的美国，近期天然气价格的明显走低，引发了市场对于过低气价限制产能，有可能导致新一轮供需不足的担忧。王亚飞表示，美国天然气生产商已经表现出因气价过低而导致投资意愿走低的情况，但预计短时间内产量还不会立即减少；今年上半年，各生产企业产量预计仍将在高位运行，供应形势保持乐观。在需求方面，王亚飞表示，受益于温和冬季气温抑制燃气消费需求的影响，在进入注气期时各地库存仍处于高位，现货采购需求仍将疲软，总体来看，上半年全球天然气供需形势仍较为宽松。张樨樨预计，在产量增长及气温回升的影响下，2023年，美国天然气供需全年将比2022年宽松，有望进入一个缓慢累库的阶段；价格方面，受到欧洲天然气危机缓解的传导效应影响，美国LNG出口需求边际走弱，或将带来美国天然气价格中枢在2023年的相对回落。路孚特电力与碳首席分析师秦炎向21世纪经济报道介绍称，俄乌冲突已经改变了能源的进出口模式，未来欧洲还将继续依赖LNG，并且去年抢修建好的LNG站，以后都将是存量的资产。“目前欧洲能源行业在天然气领域，最关心的议题就是下一个冬季如何补库。各大分析机构也都在提醒大家，要继续节约天然气使用，保障LNG的供给，因为下一个冬天欧洲的天然气供需形势还是比较严峻的。”秦炎说。根据IEA统计的数据可以看出，欧洲这个冬天的用气量的削减，三分之一是因为天气原因，即较为罕见的暖冬，而下一个冬季欧洲是否还有这么好的运气，那就不好说了。责任编辑：张恒星 SF142,财经
5,方证券：地标农产品品牌化上行趋势确定 关注新东方-S及新东方在线,东方证券发布研究报告称，地标农产品品牌化上行趋势确定，国家通过产品目录、标准认证等手段已经提升上游的标准化和品牌化能力，上游松散和规模有限议价能力弱，渠道品牌提升农产品效率作用突出。短期来看，该行看好东方甄选品牌在抖音生态内品类拓展带来的高速增长，中长期来看，自营SKU和供应链能力持续发力，伴随着内容投入，农产品渠道品牌领军地位稳固后，多渠道拓展有望成功，长期成长性突出。投资建议：关注东方甄选控股公司新东方-S（09901）及新东方在线（01797）。东方证券主要观点如下：抖音电商内达人竞争激烈，东方甄选具有达人+品牌双重属性。大的维度来看，平台的扶持方向更多向品牌账号倾斜，品牌自播增长更快，达人生态在抖音较为成熟，其中超头部主播具有稳定性同时保持稳定增长（22年边际受到疫情&东方甄选的竞争，增速有所下滑），反而中腰部竞争激烈。东方甄选属性上兼具“达人”+“品牌”的双重优势。东方甄选在人均停留时长、货品丰富度、流量利用效率更贴近达人属性，而主播管理、自营产品、内容管理更贴近于品牌，兼具两者优势。优质内容持续输出能力强，构建起高频持续和低频爆款的内容供给体系。流量、单位流量利用效率是两个关键指标。从流量来看，直播间高质量内容造就【高观看量+长时间人均停留】，流量已经位列台头部。该行将东方甄选的内容供给分为高频可持续和低频爆款。高频内容——日常直播中的才艺展示、剪辑的短视频内容、经典语录够构成了东方甄选额高频的内容输出，不断脱颖而出的新主播保证了优质内容的持续迭代。低频爆款——引入优秀名人作家进入直播间访谈、外景深入城市地标、优质的中长视频制作这三种成熟手段，不仅仅带来直播间短期流量，同时也是通过优质爆款内容持续提升“东方甄选”的品牌属性，提升长期消费者认知。地标农产品品类上行趋势清晰，东方甄选卡位渠道品牌。该行认为拓品类只是东方甄选成长的一部分，长期空间依然来自公司农产品科技公司定位，而该定位非常贴合行业趋势。国家已经构建起“三品一标”、“区域公用品牌”、“企业和产品品牌”的农产品评价体系，推动农产品品牌化。地理因素导致产业供给规模受限、地域分散且难以标准化，地标农产品与内容电商适配度高，21年以来内容电商增速显著高于货架电商，东方甄选成长恰逢其时。在规模上，21年绿色产品和有机产品市场销售额分别为5219/952亿，全国绿色有机地理标志农产品产品总数超过6.3万个，地标农产品可挖掘空间大。在价值上，东方甄选通过自营模式切入农产品自营品牌，依托自身品牌认知，降低消费者选择成本，赋能农产品流通，在产业链中价值突出。产品和供应链仍有提升空间，主动流量和内容投入有望助力渠道拓展。短期来看，东方甄选的成长性，来自于矩阵账号的品类拓展，购物节模式带来流量显著增长，相比同类直播间仍未穷其所有。从中期来看，对标头部渠道品牌，在SKU和供应链体系仍有差距，公司加大自营产品和供应链体系的搭建，疫情影响减弱后，有望带来销售额的向上弹性。长期来看，渠道拓展依然是公司最具有成长性的看点，优质的内容投入维系核心消费者用户认知，主动的流量投入依然是备选手段，产品、供应链、内容和流量为公司后期成长奠定更高的安全垫。风险提示：生态内流量不稳定，整体流量增长有限，农产品电商增长不及预期；监管政策趋严、行业竞争加剧。责任编辑：李双双,财经
6,瑞信：予中国铁塔跑赢大市评级 目标价1港元,瑞信发布研究报告称，予中国铁塔（00788）“跑赢大市”评级，目标价1港元。截至2022年12月底，公司塔类站址数共205.5万个，同比净增1.7万个，运营商塔类租户达336.2万户，同比增加10.2万户。报告中称，公司去年第四季总营业收入为234.88亿元人民币（下同），同比增长6.8%，较该行预期少0.4%。当中，塔类业务收入为192.51亿元，同比增1.7%，较预期低1.5%；纯利同比增15.2%至23.88亿元，较该行预期低0.4%；EBITDA同比跌2.2%至153.84亿元，EBITDA利润率跌6个百分点至65.5%。责任编辑：李双双,财经
7,高盛：予百威亚太买入评级 目标价29港元,高盛发布研究报告称，予百威亚太（01876）“买入”评级，目标价29港元。公司去年收入胜于预期，主因或是印度销售势头强劲，但印度业务EBITDA贡献仍然较小，而且中国业务EBITDA利润率受压。该行指出，随着原材料成本压力在今年缓解，百威亚太的啤酒将继续进行高端化，而且公司将受惠中国娱乐场所的重新开放。该行认为目前的估值具吸引力，因为按预估市盈率计算，仍低于行业平均水平。报告中称，虽然该行认为百威亚太的中国业务在中期内可能仍会落后中国行业高端市场增长，但因为它的基数将会更大，相信公司将继续在中国高端市场占据领先地位，其高端产品组合将在更多城市快速扩张。同时预计在未来几年内，随着防疫限制继续优化，韩国市场将出现强劲的复苏。责任编辑：李双双,财经
8,商务部：今年要“请进来”“走出去”，亮出“投资中国”这个金字招牌,中国经济周刊-经济网讯（记者 杨琳）3月2日下午，国新办举行“权威部门话开局”系列主题新闻发布会，介绍“坚定信心，奋发有为，推动商务高质量发展迈出新步伐”。商务部部长王文涛表示，今年，商务部会在投资促进、提升服务、扩大开放、优化环境上下更大力气，努力把优质的存量外资留下来，把更多高质量的外资引进来。他表示，在投资促进方面，商务部将主要办好“投资中国年”系列活动，这是商务部首次举办“投资中国年”系列活动。将统筹各方资源，和地方一起推动招商引资的常态化、系列化和多元化。这些活动主要是两个方面：“请进来”“走出去”，核心是搭建平台，畅通渠道，展示全国各地方的投资机遇，亮出“投资中国”这个金字招牌。具体活动安排包括启动仪式、主旨论坛等综合性活动，还有有关省份举办的专场推介，还有“进博会走进地方”“跨国公司地方行”等，这主要是“请进来”“走出去”方面，各地正在纷纷组织一些地方、一些企业“走出去”，到欧洲、到日韩、到海湾等一些地方，有针对性地开展一些重点推介。同时，还将利用一些展会平台，发挥驻外经商机构和投资促进机构作用，多层次、多形式开展招商引资活动，为国内外投资对接创造更好的平台和桥梁。在服务方面，有针对性做好外资企业的服务。在疫情期间，商务部加强了这方面的服务，跟外资企业、外国商会定期举办座谈，了解他们的一些问题，推动一些问题解决。商务部在外贸外资协调机制下有一个重点外资项目工作专班，听取外商反映问题，推动解决这些问题，做好外资企业的服务，为外资企业创造良好的发展环境。在推动更高水平开放方面，商务部将研究推动合理缩减外资准入负面清单，进一步取消或放宽外资准入限制。特别是发挥自贸试验区、海南自由贸易港、服务业扩大开放示范试点、国家级经开区等平台的先行先试和引领作用，对照国际高标准经贸规则推动更大力度、更高水平的开放，稳步推进制度型开放。最后，他表示，在服务和开放的基础上，要优化外商投资环境。商务部将深入实施外商投资法及其实施条例，高标准落实好外资企业国民待遇。外资企业反映相对比较集中的问题，比如政府采购、招投标、标准制定，这些是工作中重点要推动的，商务部将会同有关部门研究出台政策措施，保障外资企业平等参与。将建立健全各级跨部门投诉协调机制，提高投诉处理工作水平，加大外商投资合法权益保护力度，打造市场化、法治化、国际化一流营商环境。责任编辑：刘万里 SF014,财经
9,中国移动或将于本月23日披露去年业绩 大行更新评级及目标价(表),大摩发布研究报告称，中国移动（00941）或将于3月23日（周四）公布去年业绩，综合15间券商，预计其2022年纯利为1214.01-1285.65亿元，较2021年1161.48亿元同比升4.5%至10.7%；中位数1269.04亿，同比升9.3%。报告中称，综合12间券商预测中移动2022年每股股息4.4-4.64港元，较2021年每股股息4.06港元同比上升8.4%至13.4%；中位数为4.56港元，同比升12.3%。市场将关注中移动每股派息及派息比率政策、云业务及行业竞争对移动业务ARPU的影响指引，有投资者也关注公司会否有涉足类近ChatGPT产品及相关进展。责任编辑：李双双,财经
