,col1,col2,col3
0,图集-韩魏征战2023阿布扎比沙漠挑战赛,,赛车
1,图集-2023F1巴林季前试车第3日,,赛车
2,图集-2023FE电动方程式开普敦站,,赛车
3,FE开普敦站：达科斯塔夺冠 维尔涅收获亚军,2023FE电动方程式南非开普敦站，达科斯塔取得代表保时捷车队的首场胜利，DS潘世奇车队车手维尔涅收获亚军，@远景电动方程式车队 车手卡西迪取得季军；@NIO333FE车队 车手提克图姆收获第六。达科斯塔：“这是我代表保时捷的第一场胜利，感谢车队一直以来的支持。我知道主场比赛非常依赖策略，能量管理是这场比赛的重头戏。维尔涅的防守非常棒，今天和他的争斗很开心。一场难忘的比赛。”维尔涅：“我为他感到高兴，第二名也是不错的成绩，我甚至没在后视镜中看到他。今天没有撞车已经很幸运了，甚至取得了不错的积分，今年还没有彻底丧失争冠的可能性。”卡西迪：“我们对今天的成绩感到高兴，我们原本可以赢得比赛的，但是全场黄旗和能量管理使我们丧失了站上最高领奖台的机会。”FE电动方程式锦标赛下一站比赛将于四周后在巴西圣保罗举行。2023FE电动方程式第5回合比赛成绩表：（完）,赛车
4,安托内利问鼎中东区域方程式锦标赛总冠军,• 在激烈的收官之战中 意大利小将摘得赛季全场和新秀杯双料桂冠• 泰勒·伯纳德（Taylor Barnard）最终夺得车手杯亚军• Mumbai Falcons拿下车队冠军2023年国际汽联中东区域方程式锦标赛收官之战2月19日在阿布扎比亚斯码头赛道精彩上演，梅赛德斯F1车队的青年车手安托内利荣膺桂冠。意大利车手在整个周末其实并未品尝冠军的滋味，他在首回合比赛中以第一的身份冲线，但由于和对手伯纳德发生碰撞受到处罚，没有获得积分，让整个赛季的冠军悬念持续到了周日的两回合比赛中。在第二回合的比赛中，英国车手伯纳德表现不佳，安托内利也因此得以扭转锦标赛的局势提前锁定总冠军，并在最后一战中以轻松的心态迎战。在最终一回合，他一路向前方的车手尼基塔·贝德林（Nikita Bedrin）施压获得第二。PHM Racing的贝德林也获得了本人在锦标赛中的第二座冠军。Hyderabad Blackbirds by MP Motorsport的马里·博亚（Mari Boya）也在收获了他自己的第二个单回合桂冠。在首回合比赛中，由于安托内利受罚，他顺势上升成为冠军。这名18岁的西班牙小将在比赛中超过了队友萨米·梅格托尼夫（Sami Meguetounif）来到第三，随后安托内利和伯纳德发生碰撞，导致后者掉到队尾。最终，首回合的前三分别是博亚、梅格托尼夫和Mumbai Falcons的拉斐尔·卡马拉（Rafael Câmara），卡马拉也是新秀杯的冠军。Pinnacle VAR 的佩佩·马尔蒂（Pepe Martí）在次回合的比赛中从第五的位置起步豪夺胜利。他长时间在申宇鉉（Michael Shin）身后寻找机会，在最后关头完成超越。对于Prema Racing的韩国车手申宇鉉来说，这个结果无疑有些令人失望，但亚军也是他至此在锦标赛中取得的最佳成绩，并收获了新秀杯的冠军。Mumbai Falcons的基里尔·斯莫（Kirill Smal）获得了第三。在最后一回合中，前三分别是贝德林、安托内利和卡马拉。Mumbai Falcons的卡马拉和洛伦兹·佛洛萨（Lorenzo Fluxá）在本站开始前在理论上有可能争夺总冠，虽然首回合过后两人都失去了冠军的争夺机会，但是本回合的季军意味着卡马拉击败了佛洛萨成为了车手的全赛季季军。积分榜上，安托内利以40分、61分的绝对优势领先伯纳德和卡马拉获得总冠军，并提前一回合锁定了新秀杯的荣耀。新秀杯的亚军和季军分别是伯纳德和尼基尔·波拉（Nikhil Bohra）。Mumbai Falcons Racing成为了车队冠军。车手语录第一回合马里·博亚 / Hyderabad Blackbirds“我对这场比赛的表现很满意，车队告诉了我关于安德里亚的消息，我知道他的碰撞可能会产生处罚。他表现很好，不过我还是为我和车队感到高兴，我们以冠亚军拿下，车的状态也很好。我们明天会继续努力，希望取得一些进步，看下最后两场比赛能有什么结果。”第二回合佩佩·马尔蒂 / Pinnacle VAR“要超车很难，没有DRS，直道上没有什么办法。申宇鉉防守的很好，所以我只能尝试不同的机会，有一次我还压到了路肩跳了起来。最后我在七号弯找到了机会，比赛中我也有过几次不错的超车动作，很高兴能够在锦标赛最后的关头有不错的速度，并取得了应有的结果。我为自己和车队都感到高兴。”第三回合尼基塔·贝德林 / PHM Racing“能够再次从杆位领先到取胜我很高兴，我们的速度算是很快的，不过安德里亚的速度特别好，我有几圈跑的挺吃力，要努力防守。不过我觉得我表现还不错，最终维持了胜利，在这个赛季也有过其他冠军。”第一回合安德里亚·基米·安托内利在排位赛中状态出色，在锁定杆位以后又继续刷出最快圈，以0.211秒的优势领先竞争对手泰勒·伯纳德。伯纳德在周中刚刚在巴林完成国际汽联三级方程式的测试，在亚斯码头赛道的夜灯下，以漂亮的发车超过了安托内利。萨米·梅格托尼夫从第五的位置一举超过了卡马拉和博亚；第二圈时，博亚从九号弯外线超过了卡马拉上升至第四，并在两圈后超过了梅格托尼夫来到第三，为比赛的最终结果奠定了基础。安托内利向伯纳德施压，导致英国车手在六七号弯出弯时走线不佳损失一些优势，不过在九号弯的时候又从内线把优势夺回。意大利人一直在伺机而动，一圈后在12号弯和五号弯尝试进攻未果。当两人来到六号弯的时候，安托内利刹车晚了一点，而伯纳德正处于弯中，轻微的碰撞导致了伯纳德发生打转，掉到了20名开外。安托内利继承了领先，如果正常完赛则能提前锁定总冠军的荣耀。但是第七圈的时候，赛事仲裁基于和伯纳德的碰撞给他判了10秒的罚时，在调整之后他落到了博雅、梅格托尼夫、卡马拉和佛洛萨身后排在第五。如果他以这个位置完赛，在积分榜上的优势也足以让他胜券在握。在比赛的最后关头发生了戏剧性的一幕，乔瓦尼·马斯基奥（Giovanni Maschio）停在赛道上导致安全车在最后一圈出现，所有赛车距离拉近，被罚了10秒的安托内利一下掉到了伯纳德身后排在第15名。由于次回合的倒序发车，两名对手又将狭路相逢。博雅、梅格托尼夫、卡马拉和佛洛萨分列前四。贝德林退赛后，PHM Racing的约书亚·杜菲克（Josh Dufek）在和马尔蒂、蒂姆·特拉姆尼茨（Tim Tramnitz）和波拉的争抢中胜出获得第五。特拉姆尼茨在马尔蒂身前完赛，不过也因为和他人（艾登·尼特）碰撞被罚时掉到第21名。波拉和斯莫分别获得了全场第七、八，和新秀杯的亚军和季军。首次亮相的R&B Racing车手尼古拉·特索洛夫（Nikola Tsolov）获得第九，申宇鉉在和马蒂尼乌斯·斯滕斯霍恩（Martinius Stenshorne）一番精彩拼抢后获得第十。第二回合根据首回合倒序发车的顺序，申宇鉉排在了杆位并取得了不错的发车。后方，在短暂的混乱之后，斯莫超过了特索洛夫、马尔蒂。在第六圈时，马尔蒂在九号弯外侧超过了斯莫上升至第二。此时，申宇鉉手握两秒的领先优势，不过后方的马尔蒂一路努力追赶，在第11圈的时候已紧贴韩国车手，并先后尝试从六号弯和九号弯超越，不过不小心走大压到路肩，申宇鉉成功保持了位置。不过马尔蒂没有放弃，在第13圈的时候完成超越，并以1.900秒的差距最终取胜，申宇鉉和斯莫登上颁奖台。马尔蒂也是第二次在倒序发车的比赛中获胜。特索洛夫在比赛前期被杜菲克、佛洛萨超越掉到了第六。佛洛萨在最后一圈也曾在尝试超越杜菲克的时候压到九号弯路肩飞了起来，两人分获第四和第五。卡马拉超过了特索洛夫，但是和梅格托尼夫的碰撞导致他被罚10秒，因此Alpine F1车队的青年车手特索洛夫获得了第六，并登上了新秀杯的颁奖台。波拉因为四轮出线受到五秒的罚时，掉到斯滕斯霍恩身后获得第八。锦标赛的两名主力车手在本回合都表现平平。由于斯滕斯霍恩受罚，伯纳德提前至第13名发车，安托内利排在第15名。伯纳德发车不顺掉到队尾、安托内利和塞巴斯蒂安·蒙托亚（Sebastián Montoya）发生碰撞受到10秒罚时、而伯纳德也同样和莱文特·雷维斯（Levente Révész）碰撞而受罚，两名车手以第10、11位完赛，最终被罚至第13和18名。安托内利提前获得总冠军。贝德林、博亚收获前十。第三回合安托内利在排位赛中再次在最后关头刷出最快圈，但赛季最后一场比赛的杆位却被尼基塔·贝德林以0.013秒之差夺走。起跑后，两人发车都不错，但是后方波拉、欧文·唐戈乌（Owen Tangavelou）和雷维斯在七号弯发生了碰撞，赛会先是派出安全车，随即红旗暂停比赛来维修护栏。比赛在还剩下八圈的时候重新举行，贝德林和安托内利保持着领先。新料冠军安托内利没有居功自傲，在比赛还剩下两圈的时候尝试从六号弯超越贝德林，两人互不相让，在第七圈他由于驶离赛道暂时来到领先，不过很快把位置让了回去。最后两圈他仍然没有放弃进攻，不过最后贝德林顽强守住了冠军，以0.613秒的微弱优势冲过方格旗。卡马拉在身后获得第三，颁奖台上的的车手也包揽了新秀杯的前三名。后方，杜菲克在比赛重新开始后成功压制了梅格托尼夫、伯纳德和博亚保住了第四。梅格托尼夫不久后退赛，而博亚在五号弯超过了伯纳德并开始追赶杜菲克。比赛还剩下五圈，博亚和杜菲克的缠斗导致二人发生碰撞，前者左后轮爆胎回到维修区更换，而杜菲克走偏将第四的位置拱手让给伯纳德。斯滕斯霍恩在倒数第三圈超越了斯莫获得第六。西班牙的两位车手马尔蒂和佛洛萨在12号弯发生了碰撞，尼特趁机超过了二人获得第八，马尔蒂由于这次事故被罚10秒掉到第十，申宇鉉获得第九。（阿尔发）,赛车
5,詹姆斯·沃顿荣膺阿联酋四级方程式总冠军,• 收官战高潮迭起 Mumbai Falcons车手沃顿终获总冠• 图卡·塔波宁（Tuukka Taponen）摘得新秀杯桂冠• Mumbai Falcons收获车队荣耀2023年国际汽联阿联酋四级方程式锦标赛在经历了五站15回合的精彩对决后，2月19日最终在阿布扎比亚斯码头赛道落幕。16岁的澳大利亚新秀詹姆斯·沃顿和同样来自法拉利青训体系的Mumbai Falcons队友图卡·塔波宁互不相让，前两回合中沃顿稍占上风，但仍未能锁定总冠。在最后一战中两人在开场圈相撞退赛，沃顿才就此获得冠军。尤戈·尤戈卓古（Ugo Ugochukwu）和瓦莱里奥·里尼切拉（Valerio Rinicella）本也在车手总冠的竞争中，不过在首回合结束后，主战场上只剩下沃顿和塔波宁两人。在安全车频发的首回合比赛中，沃顿一路领先塔波宁保持着第一的位置，后方的Hitech Grand Prix车手阿尔维德·林得布拉德（Arvid Lindblad）一路施压，迫使塔波宁防守。次回合比赛和首场比赛战况相似，沃顿和塔波宁占据了冠亚军的位置，而比赛也频频被安全车打断。这次给塔波宁压力的是尤戈卓古，这名15岁的美国小将最终获得季军。在两名赛季主角相继出局后，尤戈卓古和里尼切拉成为了最后一回合比赛的最大看点。迈凯伦的F1青年车手、Prema Racing的尤戈卓古用冠军为赛季开局，最终也以冠军身份收场。 MP Motorsport的里尼切拉和Yas Heat Racing Academy的本地车手基努·阿尔阿扎里（Keanu Al Azhari）登上颁奖台。比赛在最后一圈的时候由于哈姆妲·库拜西（Hamda Al Qubaisi）的事故以红旗结束。在最终的积分榜上，沃顿以20分的优势击败塔波宁荣膺总冠，而尤戈卓古和里尼切拉分别以47分和61分的差距排在第三、四。塔波宁虽然最终未能问鼎赛季总冠军，但是提前一站锁定了新秀杯冠军，林得布拉德和阿尔阿扎里分列二、三名。塔波宁的车队Mumbai Falcons Racing也提前一站收获了车队总冠军。车手语录第一回合詹姆斯·沃顿/ Mumbai Falcons“我现在很平静，也很在状态，感觉好像一切都能顺风顺水。希望剩下两回合都能这样稳定发挥，取得足够的领先优势，这样最后一回合不需要太激进就能保证夺冠。我现在情况不错，但是离最后夺冠还有一段路要走。”第二回合詹姆斯·沃顿 / Mumbai Falcons“明天的比赛我应该可以比较轻松，不一定需要获胜，但是我还是要保证以一个不错的位置完赛。我对目前的进展还挺满意的，对车队也很感激，希望明天能够顺利夺冠。”第三回合尤戈·尤戈卓古 / Prema Team“这个赛季整体还是不错的，我们一共获得了五场胜利，在最后一站里又再次站在最高领奖台，并收获赛季季军，所以还是比较满意的。我很感谢我的车队Prema Team，他们一直都很给力。”（阿尔法）,赛车
6,图集-2023F1巴林季前试车次日,,赛车
7,图集-2023F1巴林季前试车首日,,赛车
8,图集-2023F1季前巴林试车,,赛车
9,图集-迈凯伦新车MCL60首航,,赛车
