,col1,col2,col3
0,五大联赛第一！曼联成本赛季第1支取得30胜的球队,足总杯八分之一决赛，曼联3-1逆转西汉姆联。这也是曼联本赛季在各项赛事中的第30场胜利。红魔也成为本赛季五大联赛中第一支取得30胜的球队。曼联在滕哈赫手下已经开始走向复兴。（Cinderella）,足球
1,官方：穆里尼奥辱骂裁判被禁赛2场 罗马将上诉,在罗马1-2负于克雷莫内塞的比赛中，穆里尼奥与场边的第四官员发生了争执，被红牌罚下。意甲官方宣布：穆里尼奥因辱骂主裁判，将被停赛2场。据悉，罗马将提出上诉，他们认为第四官员先对穆里尼奥有不敬的话语。（Cinderella）,足球
2,国家德比3部曲上演!国王杯巴萨客战或延续记录,北京时间3月3日凌晨4点，西班牙国王杯半决赛首回合将迎来国家德比，皇马坐镇伯纳乌球场迎战巴萨。此前双方在本赛季西甲和西超杯有过2次交手，皇马在西甲主场3-1完胜过巴萨，然而西超杯中立场巴萨3-1皇马，如今两队会师于国王杯半决赛，彼此的目标就是踩着对手跻身决赛争夺国王杯桂冠。目前在西甲积分榜上，领头羊巴萨领先身后的皇马有7分，纵观整个西甲历史，在联赛还剩15轮的情况下，巴萨牢牢占据争冠主动权。这也意味着皇马会将重心更多倾向于国王杯、欧冠赛事。上周中欧冠赛场，银河战舰在一度2球落后的逆境下连续攻入5球，彻底血脉压制了利物浦。维尼修斯和本泽马同时梅开二度，37岁中场莫德里奇的出色助攻，无疑将利物浦钉在了耻辱柱上，回到联赛皇马艰难般绝平马竞，从同城德比战全身而退，并且在巴萨同轮爆冷输球的情况下，缩小与领头羊的分差。值得一提的是，主力中场托尼-克罗斯自从2014年转会皇马至今，出战397场贡献27粒进球和87次助攻，上一次国王杯国家德比战还要追溯至2019年2月，当时皇马0-3负于巴萨，如今克罗斯能否如愿以偿帮助皇马击败巴萨挺进国王杯决赛，最终碰杯实现大满贯的荣誉成为一大看点。另外要注意的是，皇马当下一线队23名球员，只有本泽马、莫德里奇、卡瓦哈尔、纳乔4人有过随队拿到国王杯桂冠的经历，皇马主帅安切洛蒂曾在2014年率领皇马斩获国王杯，这也是银河战舰最近一次拿到的国王杯冠军。巴萨在欧罗巴附加赛次回合客场被曼联2-1逆转遗憾出局，此后西甲客场遭遇队史首败于阿尔梅里亚，连续做客无论是体能还是自信心对巴萨均有较大的冲击。如今一周之内连续第3个客场，巴萨面临的伤病状况依旧不容乐观，中场天才佩德里、前锋登贝莱依旧缺席，而进攻核心莱万出现左腿腿筋过劳的伤情，俱乐部并不希望冒险使用莱万，因此莱万大概率无缘出战皇马，前锋法蒂已经参加球队合练，有望出战与皇马的国王杯半决赛首回合争夺。综合来看，自从上赛季哈维走马上任后，巴萨已逐步走向成熟，西超杯3-1完胜皇马便是很好的证明。而未来的35天内，巴萨将与皇马在国王杯和西甲两项赛事迎来三次交手。先是3月2日国王杯半决赛首回合客场对阵皇马，然后是3月19日西甲主场迎战国家德比对手，最后是4月5日再次坐镇诺坎普，展开国王杯半决赛次回合较量。西班牙国家德比三部曲的上演，意味着皇马巴萨本赛季究竟谁能获得更多奖杯的悬念即将揭晓。另外本场有一项数据值得关注，据《世界体育报》统计，在国王杯赛场上，自1969/1970赛季之后，巴萨五次作客伯纳乌球场从未输过给皇马。据统计，皇马上一次在国王杯上主场战胜巴萨是在1969/1970赛季，当时白衣军团以2-0击败对手。但此后，皇马连续五次主场面对巴萨的国王杯比赛均未尝胜绩。以下是双方1970年以后在伯纳乌球场进行国王杯对战的结果：1969/1970赛季，皇马2-0巴萨1992/1993赛季，皇马1-1巴萨1996/1997赛季，皇马1-1巴萨2011/2012赛季，皇马1-2巴萨2012/2013赛季，皇马1-1巴萨2018/2019赛季，皇马0-3巴萨目前竞彩官方开出1.85（胜）3.40（平）3.30（负）的赔率组合，对于连续主场作战的皇马有着一定程度的支持，但整体而言还是较为谨慎的。比分赔率中，双方1-1打平的赔率为1赔7最低，皇马2-1、1-0、2-0胜赔分别为7.75、8.50、9.50，而巴萨2-1、1-0客胜赔率同为12.00。结合历史数据来看，两队近2次交锋可谓刺刀见红不乏进球，考虑到两队接下来赛程均较为宽松。而在防守端，巴萨本赛季表现要强于皇马，加上有国王杯近5次客战皇马不败的心理优势，这也为巴萨在首回合力争占得先机增添了不少的底气和机遇。（幸运星）,足球
3,英超-范迪克头球破门萨拉赫建功 利物浦2-0狼队,3月2日04：00，英超联赛第7轮补赛，利物浦2-0战胜狼队。第73分钟，利物浦首开记录！阿诺德左路定位球开到禁区范迪克头球被扑第二点若塔扫到门前范迪克头球补射破门，利物浦1-0狼队。第77分钟，利物浦再下一城！齐米卡斯左路突破到禁区下底横传门前萨拉赫撞射破门，利物浦2-0狼队。利物浦首发：1-阿利松-贝克尔、66-亚历山大-阿诺德（89‘7-米尔纳）、4-范迪克、5-科纳特、21-齐米卡斯、3-法比尼奥、43-巴伊切蒂奇（79’14-亨德森）、19-埃利奥特、11-萨拉赫、27-努涅斯（89‘9-菲尔米诺）、20-迪奥戈-若塔（75’18-加克波）狼队首发：1-若泽-萨、64-乌戈-布埃诺（23‘3-艾特-努里）、23-基尔曼、15-克雷格-道森、22-塞梅多、5-勒米纳、8-鲁本-内维斯、28-穆蒂尼奥（64’10-波登斯）、27-马特乌斯-努内斯（64‘35-若昂-戈麦斯）、21-萨拉维亚（45’37-阿达玛-特拉奥雷）、9-劳尔-希门尼斯（79‘29-迭戈-科斯塔）（Cinderella）,足球
4,足总杯-恩迪亚耶破门 热刺0-1谢菲联惨遭淘汰,3月2日凌晨4点，足总杯第五轮，热刺客场0-1负于谢菲尔德联，无缘8强。第79分钟，谢菲联前场进攻，恩迪亚耶禁区内得球晃开角度起脚低射，洞穿了福斯特把守的球门！谢菲尔德联1-0热刺。热刺首发：20-福斯特、6-桑切斯、15-戴尔、33-本-戴维斯、23-佩德罗-波罗（82‘16-丹朱马）、5-霍伊别尔、29-萨尔（74’4-斯基普）、14-佩里西奇、7-孙兴慜、27-小卢卡斯（73‘21-库卢塞夫斯基）、9-理查利森（65’10-凯恩）谢菲尔德联首发：18-福德林汉姆、2-巴尔多克（62‘13-马克斯-罗）、6-巴沙姆、15-艾哈迈多霍吉奇、19-罗宾逊、23-奥斯朋、22-多伊尔、17-伊斯梅拉-库利巴利（62’8-博格）、35-布鲁克斯（73‘29-恩迪亚耶）、28-麦卡蒂（84’4-约翰-弗莱克）、10-比利-夏普（Cinderella）,足球
5,足总杯-加纳乔弗雷德破门 曼联3-1西汉姆联进8强,3月2日凌晨3时45分，足总杯第5轮，曼联3-1战胜西汉姆联。第55分钟，本拉赫马禁区左侧接应埃默森的倒三角回敲，稍作调整后起脚兜射，球窜入远侧网窝，西汉姆联1-0领先。第77分钟，B费开出左路角球至禁区内，阿格德前点头球解围失误，不慎将球顶进自家网窝，曼联扳平比分，1-1！第90分钟，韦霍斯特远射被挡出，加纳乔禁区左侧拿球，稍作调整后起脚兜射破门，曼联反超比分，2-1！第90+5分钟，韦霍斯特在对方禁区内反抢得手，弗雷德中路跟进推射破门，3-1。曼联首发：1-德赫亚、12-马拉西亚、2-林德洛夫（58’6-利桑德罗-马丁内斯）、5-马奎尔、15-萨比策（86’17-弗雷德）、20-达洛特、39-麦克托米奈（46’18-卡塞米罗）、49-加纳乔（94’19-瓦拉内）、8-B费、21-安东尼（58’10-拉什福德）、27-韦霍斯特西汉姆联首发：13-阿雷奥拉、2-本-约翰逊、27-阿格德、21-奥邦纳、33-埃默森、41-赖斯、28-绍切克、11-帕奎塔、8-福纳尔斯（74’20-鲍文）、9-安东尼奥（86’7-斯卡马卡）、22-本拉赫马（Cinderella）,足球
6,英超-马丁内利双响萨卡传射 阿森纳4-0埃弗顿,3月2日凌晨3点45分，英超第7轮补赛，阿森纳4-0战胜埃弗顿。第40分钟，津琴科送出直塞，萨卡接球转身趟入禁区右侧，在角度极小的情况下右脚大力抽射破门，阿森纳1-0领先埃弗顿。第45分钟，萨卡前场抢断格耶，马丁内利得球进入禁区推射破门，阿森纳2-0领先埃弗顿。第71分钟，特罗萨德从左路接到直塞带球进入禁区后横传，中路跟上的厄德高在无人防守的情况下推射破门，阿森纳3-0领先埃弗顿。第80分钟，津琴科在禁区前左侧直塞，恩凯蒂亚接球在底线处传中，马丁内利门前近距离推射破门，阿森纳4-0埃弗顿。阿森纳首发：1-拉姆斯代尔、4-本-怀特、12-萨利巴、6-加布里埃尔、35-津琴科（82‘ 3-蒂尔尼）、34-扎卡（72’ 21-法比奥-维埃拉）、20-若日尼奥（46‘ 5-托马斯）、8-厄德高、7-萨卡（82’ 10-史密斯-罗）、11-马丁内利、19-特罗萨德（72‘ 14-恩凯提亚）埃弗顿首发：1-皮克福德、2-塔科夫斯基、5-迈克尔-基恩、19-米科连科、23-科尔曼（60‘ 22-戈弗雷）、7-麦克尼尔、8-阿马杜-奥纳纳、16-杜库雷（78’ 26-汤姆-戴维斯）、17-伊沃比、27-盖耶（46‘ 4-霍尔盖特）、20-莫派（60’ 11-格雷）（Cinderella）,足球
7,头尾大战阿森纳拒绝重蹈覆辙 数据示轻取埃弗顿,北京时间3月2日凌晨，英超第七轮补赛，阿森纳坐镇酋长球场迎战埃弗顿。阿森纳目前少赛一场领先身后的曼城2分，目前英超已进入冲刺阶段，阿森纳能否将少赛一场的优势转化为实打实的积分显得至关重要。而枪手本场的对手埃弗顿，在2月初曾战胜过阿森纳，这样的壮举纵观整个英超本赛季只有曼城和曼联做到过。竞彩官方为本场开售了单关投注，由此可见比赛的焦点程度还是比较可观的。阿森纳在上轮作客皇权球场1-0击败了莱斯特城，虽然只是1球小胜，但阿森纳整场都压制了对手，莱斯特城整场比赛只有1脚射门，0射正。帮助球队进球的是马丁内利，而为他送上助攻的是冬窗新援特罗萨德。目前来看，阿森纳在冬窗的引援都是物超所值的，通过几场的磨合，特罗萨德和若日尼奥已经成为了不可或缺的力量。球员的个人实力是一方面，阿森纳能够保持稳定的火力输出，主要是得益于主帅阿尔特塔对战术细节的把控。阿尔特塔上轮排出萨卡居右，特罗萨德居左，马丁内利居中的三叉戟，增加了马丁内利对球门的威胁。前段时间恩凯蒂亚曾有过5场4球的短暂高光，但近期较为低迷，枪手阵中无人能替代受伤的热苏斯的作用。阿尔特塔对此积极求变，帮助球队度过一个又一个的难关，待热苏斯复出之日其他球队的机会恐怕真的不多了。埃弗顿上轮在主场0-2不敌维拉，球队虽然2球完败，但在场面上并不逊色太多。输球的原因可能在于埃弗顿在上半场浪费了太多机会，下半场受到了惩罚。肖恩戴奇执掌球队后2胜2负，4场比赛拿到6个积分，这对于保级球队来说并不算差。有意思的是，这4场比赛在比分上存在的一个巧合是，埃弗顿1-0取胜后的下一场会以0-2输球，之后会再次1-0赢球，那么本场会延续这个规律吗？竞彩官方为本场开出的胜平负数据为 1.20（胜）4.80（平）10.25（负），可以看出阿森纳占尽了各种优势，似乎已经提前锁定了3分。比分赔率中，阿森纳2-0的赔率为1赔5.5最低，其次是1-0的1赔6和3-0的1赔7，数据对于埃弗顿的进攻效率并不看好。而埃弗顿1-0赢球的比分赔率为1赔22，太妃糖想要复刻首回合的神奇不太现实。回顾双方首回合的较量，阿森纳0-1输给埃弗顿，整场比赛枪手在对手的高压下没能发挥出正常水平，而肖恩戴奇更是在战术层面完胜阿尔特塔，那么本轮双方主帅会呈现出怎样斗智斗勇的精彩场面，让我们拭目以待。（萧何）,足球
8,足总杯-福登梅开二度德布劳内破门 曼城3-0晋级,3月1日04：00，英格兰足总杯1/8决赛，曼城3-0战胜布里斯托城，晋级8强。第7分钟，曼城打开记录！德布劳内右路直塞禁区马赫雷斯横传门前福登后点包抄推射破门，布里斯托城0-1曼城。第74分钟，曼城再下一城！阿尔瓦雷斯禁区中路做球福登右路推射打在防守球员身上弹进球门，布里斯托城0-2曼城。第81分钟，曼城扩大比分！格拉利什横传德布劳内中路带球突施冷箭远射破门，布里斯托城0-3曼城。曼城首发：18-奥尔特加-莫雷诺（45‘31-埃德森）、82-里科-刘易斯、25-阿坎吉、3-鲁本-迪亚斯、6-阿克（83’80-帕尔默）、4-卡尔温-菲利普斯、17-德布劳内、20-伯纳多-席尔瓦（88‘32-佩罗内）、26-马赫雷斯（71’10-格拉利什）、47-福登（83‘21-塞尔希奥-戈麦斯）、19-胡利安-阿尔瓦雷斯布里斯托尔城首发：12-奥利里、19-坦纳（45‘14-魏曼）、26-维纳、22-卡拉斯、16-布林（78’3-杰伊-达席尔瓦）、6-马修-詹姆斯（89‘10-安迪-金）、8-乔-威廉斯（89’35-奥马尔）、17-赛克斯、7-亚历克斯-斯科特、21-韦尔斯（83‘36-弗兰克斯）、20-贝尔（Cinderella）,足球
9,意甲-迪马利亚助攻拉比奥破门 尤文图斯4-2都灵,3月1日凌晨3点45分，意甲第24轮，尤文图斯4-2战胜都灵。第2分钟，都灵右侧角球开到禁区，中路的布奥吉奥诺头球攻门打在了卡拉莫的身上，后者近距离转身扫射将球打进，都灵1-0领先尤文图斯。第16分钟，尤文扳平了比分，禁区左侧科斯蒂奇接球后挑传，右路无人防守的夸德拉多右脚大力抽射，尤文图斯1-1都灵。第43分钟，左路的伊利奇45度低平球抽到禁区，萨纳夫利亚抢在后卫身前捅射，都灵2-1领先尤文图斯。第45分钟，迪马利亚将左侧角球开到禁区，达尼洛在中路大力冲顶破门，尤文图斯2-2都灵。第71分钟，尤文战术角球开出，基耶萨在左路拿球传球，禁区内的布雷默甩头攻门，皮球直挂死角，尤文图斯3-2反超都灵。第80分钟，尤文获得前场左侧的任意球，科斯蒂奇将球开到禁区，后点的拉比奥近距离捅射破门，尤文图斯4-2领先都灵。尤文图斯首发：1-什琴斯尼、6-达尼洛、3-布雷默（90‘19-博努奇）、12-阿莱士-桑德罗、11-夸德拉多（68’2-德西利奥）、44-法焦利、45-巴雷内切亚（68‘10-博格巴）、25-拉比奥、17-科斯蒂奇、22-迪马利亚（68’7-基耶萨）、9-弗拉霍维奇（86‘18-基恩）都灵首发：32-米林科维奇-萨维奇、26-科菲-吉吉（84‘5-格拉维永）、3-舒尔斯、4-布奥吉奥诺、13-里卡多-罗德里格斯（74’27-沃伊沃达）、17-辛戈、77-利内蒂（74‘28-里奇）、8-伊万-伊利奇、、59-阿列克谢-米兰丘克、7-卡拉莫（59’49-拉多尼奇）（74‘23-塞克）、9-萨纳夫里亚（Cinderella）,足球
10,意甲-穆里尼奥被罚下 罗马1-2爆冷负于副班长,3月1日凌晨1点30分，意甲第24轮，罗马1-2负于副班长克雷莫内塞。第17分钟，瓦莱里胸部回做，查茹凌空抽射破门，克雷莫内塞1-0罗马！第46分钟，穆里尼奥和第四官员起争执，裁判来到场边向其出示红牌。第71分钟，曼奇尼长传送出助攻，斯皮纳佐拉停球后冷静低射入网，罗马1-1克雷莫内塞！第82分钟，帕特里西奥送点，乔法尼点射命中，克雷莫内塞2-1罗马！罗马首发：1-帕特里西奥、23-詹卢卡-曼奇尼、24-库穆布拉（68′2-卡尔斯多普）、3-罗热-伊巴涅斯、59-扎莱夫斯基（63′18-索尔巴肯）、4-克里斯坦特（63′8-马蒂奇）、25-威纳尔杜姆、37-斯皮纳佐拉、7-佩莱格里尼（63′92-沙拉维）、21-迪巴拉、11-贝洛蒂（62′9-亚伯拉罕）克雷莫内塞首发：12-卡尔内塞基、15-比安切蒂、24-阿莱士-费拉里（84′21-基里凯什）、15-比安切蒂、6-皮克尔（78′27-加尔达梅斯）、17-塞尔尼科拉（84′18-吉利奥尼）、26-贝纳西、3-瓦莱里、77-奥克雷克、74-查茹（78′9-乔法尼）、20-阿费纳-吉安（66′28-梅特）（Cinderella）,足球
11,C罗近16年第一次无缘FIFA年度最佳阵容,2月28日，FIFA公布了年度最佳阵容，C罗无缘入选。从2006年到2022年，C罗曾连续15年入选FIFA最佳阵容。本场落选也是C罗近16年首次无缘FIFA年度最佳阵容。（Cinderella）,足球
12,梅西连续16年入选FIFA年度最佳阵容  创历史纪录,2月28日，FIFA颁奖典礼，梅西入选年度最佳阵容。梅西自2007年以来连续16年入选FIFA年度最佳阵容，创造历史纪录，成为入选FIFA年度最佳阵容次数最多的球员。（Cinderella）,足球
