,col1,col2,col3
0,2022禹唐体育营销大会举行 超级400挑战赛获IP奖,11月8日，2022年禹唐体育营销大会在线上圆满举行。本届大会以“驱动·再创造”为主题，这一主题针对行业痛点，意在引领行业思考，同时也表现出禹唐体育要联合市场核心参与者挖掘新机会、缔造新格局的愿景。本届大会由营销论坛、年度体育营销评选和体育营销项目推介会三大议程组成。营销论坛营销论坛以“洞悉市场，把握机遇”为主题，从市场趋势、大赛营销和自主IP三大板块详细论述当下国际和国内体育营销市场的新趋势和新机会所在。“市场趋势”讨论板块聚焦体育营销市场的全球动向和国内潜力。法国SKEMA商学院体育和地缘政治经济学教授西蒙·查德威克（Simon Chadwick）、盛力世家（上海）体育文化发展有限公司高级副总裁于蕾和中国杯帆船赛组委会副秘书长、深圳市纵横四海航海赛事管理有限公司总经理钟勇分别阐述了自己对于体育产业和体育营销趋势的展望。在“大赛营销”讨论板块中，卡塔尔世界杯官方赞助商海信集团品牌管理部总经理庞静女士做了很重要的观点分享。另外，北京体育大学商学院院长肖淑红教授和杭州孚德品牌管理有限公司董事长李宏也都给出了自己的看法和建议。“自主IP”讨论板块聚焦这一国内体育赛事市场的关键推动力。中国网球巡回赛赛事总监周兵和野放计划负责人江佳琪都阐述了各自的经营理念和市场价值。另外，力盛云动（上海）体育科技股份有限公司CEO余星宇从创新IP、科技与IP体系结合的角度发表了自己的观点。年度体育营销评选年度体育营销评选继续从营销案例、资源IP和营销人物三个方向入手，并在此基础上，从专业的角度对奖项进行了细分，突出入围内容各自最鲜明的特点和专业优势，成为行业感知新趋势，优化实践效果的过程中值得学习和借鉴的“风向标”。体育营销案例方向包括4个细分奖项，分别是最佳整合营销案例、最佳科技类营销案例、最佳体验式营销案例和最佳代言资源激活案例；体育资源IP方向包括5个细分奖项，分别是最佳自主创新赛事IP、最佳全民健身新锐赛事、最佳户外休闲与体验赛事、最佳数字化与科技应用和最佳引进赛事IP；最后还颁出了体育营销人物奖。具体获奖名单如下：体育营销项目推介会作为禹唐体育营销大会的核心板块之一，2023体育营销项目推介会是体育行业内首个真正匹配企业方预算制定时间的赛事资源推介活动，也是禹唐体育基于多年来积累的专业经验和平台资源优势，为企业和资源方打造的年度商业交易平台。本场体育营销推介会由四个板块构成，分别为大众参与类，项目包括斯巴达勇士赛、斯巴达勇士儿童赛、中国网球青苗计划和野放计划；高端竞技类，项目包括中国网球巡回赛；运动代言类，项目包括徐京坤·旺代中国梦之队和李景亮·综合格斗；亚运营销类，项目包括运动队·中国国家网球队和运动员·韩旭。关于禹唐体育营销大会禹唐体育营销大会是由全球知名的体育营销服务商——禹唐体育打造的中国体育营销的行业年度盛会。会议共分为思想分享、营销项目推介、体育营销年度颁奖三个环节，针对中国体育营销的发展现状，结合产业最新动向和国际先进理念，整合企业、资源方、相关机构和人才资源，打造体育营销的聚集地，促进体育IP运用和体育营销赞助的交易与合作，成为中国体育营销的行业风向标，引领中国体育商业的全面发展。（一方）,跑步
1,超级400跑遍中国赛在崇礼举行,,跑步
2,亚运会宣布延期 今年的马拉松也不好过！,刚刚，亚洲奥林匹克理事会总干事宣布，原定于2022年9月10日至25日在中国杭州举办的第19届亚洲运动会将延期举行，具体日期择期宣布。亚运会是北京冬奥会之后，我国即将举办的另一个高规格的体育盛会，随着国内疫情的大爆发，在距离开赛前4个月宣布了延期的消息。20天前，田协刚刚在杭州举办了亚运会和世锦赛的马拉松选拔赛，杨绍辉获得男子冠军。张新艳出道即巅峰，绝杀张德顺夺得女子冠军。这次比赛虽然角逐出的名次，但亚运会的参赛名额还需要通过多项积分计算得出，这次前6的选手还要参加后面举办的全国田径锦标赛，跑完5000米和10000米，才能最终确定参赛阵容。随着亚运会的延期，中国马拉松的国手们今年也少了一份重任，国际大赛只剩下世锦赛，它的重要性远远不及本土举办的亚运会。如今说起马拉松，似乎这个字眼对于跑者越来越陌生，上次跑马拉松是什么时候呢？很多人都已经忘记这种体验。白银越野赛的悲剧已经快1年了，这也意味着，中国马拉松的空窗期也有1年之久了，上一次有超级马拉松周末，还是2021年的4月，522白银越野赛悲剧后，跑者似乎进入报名-延期-重启-再延期的循环。这种循环什么时候能结束，今年似乎看不到希望了，至少上半年不会有。下半年前景如何，谁也无法预料。马拉松并不是必需品，但它的消失似乎是一种缩影，它从前是一种生活和出游的方式，这种痛并快乐的体验已经称为一种奢求。近日举行的中国田径协会全国路跑及大众田径工作会议上，中国田径协会发布了《关于疫情常态化下路跑运动开展的指导意见》。这份《指导意见》，对疫情常态化下对路跑赛事的新要求：（一）化整为零。倡导将原有的大规模、几万人参与的大型赛事，缩小为规模可控、本地化参赛为主的中小型赛事，在符合本地方疫情防控政策前提下，提高办赛成功率。在日常的活动组织上，鼓励个人、小群体、小俱乐部、小跑团自发性开展路跑锻炼或竞赛活动。（二）化长为短。项目设置上，在不能设置42.195公里标准马拉松距离的情况下，充分运用路跑赛事涵盖的多个小项，甚至设置符合实际的非标距离，因地制宜实现属地防疫要求路跑赛事的距离上，鼓励各组委会多举办5公里、10公里等短距离、风险较低的项目比赛。（三）化实为虚。在赛事举办的模式上，倡导线上赛事活动与线下赛事结合，可以组织形式多样、丰富多彩、持续整年的线上论坛、训练营、线上赛等形式的活动，作为线下实体赛事的预热和补充，将赛事活动和宣传贯穿始终。（四）化繁为简。在赛事组织形式上，根据实际情况，在确保疫情防控、赛事组织、风险防控、应急处理、医疗保障“五个方案”工作基础上，精准施策，简化流程，将经费、资源投入到关键环节，倡导举办小型测试赛、小规模闭环赛等简便易行的赛事。可以预见的是，下半年的马拉松也不会好过！大型的长距离赛事会越来越少，受疫情的影响，本地赛、短距离、小规模、线上赛似乎将成为主流。,跑步
3,1小时02分23秒！贾俄仁加半马超国家纪录,今天早上，北京亦庄国际企业文化园举办了一场挑战赛，挑战的主角是贾俄仁加，经过一个冬天的高原冬训，希望检验一下自己的训练成果，最终他以1小时02分23秒完成半马挑战，这个成绩超过了我国的半马国家纪录。国内男子半马纪录是1小时02分51秒，还是董国建2009年在扬州马拉松中创造，今天的挑战赛，赛道单圈约4.5km，配速员轮流上阵为他领跑，类似基普乔格当年破2时候的模式，贾俄仁加以62分23秒完赛，平均配速2分56秒，超国家纪录28秒，但这个成绩无法得到认证。虽然成绩无法得到认证，但贾俄仁加的实力毋庸置疑，近两年，随着国人竞速的崛起，不断有人朝着打破国家纪录迈进，最接近的一次是前年的厦门环东半马，彭建华以1小时03分03秒的成绩，无限接近打破半马纪录，去年的仁寿半马，蒋发坤也跑出过这样的成绩。贾俄仁加目前被看作是体制外最强的跑者之一，他没有过专业队的背景，从柏林马拉松再到广东马拉松，一次次突破极限，2020上海马拉松，他跑出了2小时12分44秒的成绩夺冠，这也是他目前全马的最好成绩。,跑步
4,太难了！线下赛办不了 线上赛也开始延期了！,近期，国内本土疫情态势愈发严峻，多地确诊病例和无症状病例不断新增，上半年的线下比赛已经基本宣布延期。此前，徐州马拉松已经发布了线下赛延期的公告，值得一提的是，徐州马拉松是在未官宣办赛日期的情况下直接延期的。而今天，徐马又发布一条延期公告，这次延期的是线上赛，该赛事拟定4月10日举行，此前也并未发布过线上赛的细节，也未开启报名。线上赛延期举行，这或许还是头一遭，这也反应了目前的疫情态势，病毒隐匿性强，传播速度快，徐州地区也出现很多的病例，多数小区已经实行了封闭管理，居民足不出户，当然也不具备了参加线上赛的条件。以前是没有比赛可跑，大家慢慢都已经习惯，起码自己能够训练，能够进行日常的跑步锻炼，目前，长三角地区的很多人，连正常的跑步都无法进行，更不用奢求去参加线上赛了。当然，这只是暂时的静止状态，疫情的阴霾终将会散去，届时我们再自由的奔跑吧！,跑步
5,封控期间外出跑步 上海“跑男”被罚！,一男子在单位封闭管理期间违反防疫规定，私自离开单位外出跑步，还要发群炫耀，结果。。。。。。近日，上海普陀警方对该名违反防疫规定的违法人员作出行政处罚。2022年4月2日上午，普陀公安分局桃浦派出所接到群众举报，有一中老年男子违反防疫规定，私自外出跑步，还将照片发在某长跑爱好者群内炫耀。接报后，警方立即开展调查。民警通过调研公共视频，结合走访调查，很快在柳华路某公司内找到了群众所举报的“跑男”李某。经询问，李某如实向民警供述了自己违反防疫规定的违法行为。原来，李某是柳华路某公司在核酸筛查封闭管理期间的留守人员，也是一名长跑爱好者，平时有晨跑的习惯。4月2日5时50分许，李某在明知疫情防控“足不出户”相关规定的情况下，仍然坚持外出晨跑，还在跑步途中自拍，将跑步轨迹和自拍照片发在某长跑爱好者群内炫耀。4月2日，违法行为人李某因拒不执行紧急状态下的决定、命令被普陀警方依法行政处罚。警方提示：疫情当前，需要你我共同努力。希望广大市民积极遵守疫情防控规定，支持和配合防疫工作，合力打赢这场疫情防控战。对违反疫情防控政策和危害群众生命安全行为的，普陀警方将依法处罚。来源| 上海法治报,跑步
6,上海跑友管控期间翻墙跑步 有人建议内因入手杜绝,北京时间4月2日，“上海热心市民”建议上海疫情防控期间暂停运动类APP上海地区GPS记录功能的截图在跑圈和跑友群流传开来。截图中，投诉者的建议内容为：目前上海管控期间，仍有不少跑步爱好者通过翻墙违规遛出小区跑步，给防疫工作带来极大隐患。除了严加管理之外，应从内因入手，研究他们为何忍不住出去跑步的动机，其实很多人沉迷于跑步是源于沉迷跑步类APP中记录的数据。建议上海有关部门联系keep、咕咚、悦跑圈、佳明、郁金香等跑步类APP公司暂停疫情管控期间的GPS记录功能，从内心根源上减少该类人员外出跑步的动力。内外结合加强对该类人员的管控。就在昨天，相关部门才发布公告，称目前上海疫情更为复杂，请市民朋友继续予以理解、包容、支持、配合，在此期间做到足不出户、居家办公、减少流动。对于这种“翻墙跑步”的迷惑行为，多数网友并不支持，并认为这是在违反防疫政策，应对给予违规者处罚。至于这位提建议者，大家普遍支持他的做法。（Amber）,跑步
7,亚运会世锦赛马拉松选拔赛重启 本月中旬杭州举行,今天，中国田径协会官网更新了赛事日历，新增了亚运会、世锦赛马拉松选拔赛的相关消息。年初时，田协曾公开征集了选拔赛的承办单位，中奥路跑运营的淮安马拉松成功入围，但随着本土疫情的爆发，原定于4月17日举行的淮马直接宣布取消，选拔赛也石沉大海。距离世锦赛还有3个多月的时间，距离亚运会也只有5个多月，时间紧任务重，日本近日都已经确定了两个大赛的阵容，我国的选拔赛已经迫在眉睫。田协最终决定将选拔赛放在杭州举行，但具体的细节暂时还未公布，可以预见的是，这将是一场内部的精英赛，不会向大众开放，比赛场地也很可能在某个区域绕圈举行。选拔赛放在4月16-17日，这个时间也与此前的淮安马拉松保持了一致，最近几天是各省队的报名时间，半个月后，又可以看到一场国内顶尖选手的对决，你期待吗？,跑步
8,郑开马拉松公布抽签结果 焦安静管油胜都没中！,近日，国内不少马拉松都决定延期，4月几乎已经没有比赛能够举行。在这样的背景下，原定于4月23日举行的郑开马拉松继续推进着比赛的进程，并在昨天公布了抽签结果。郑开马拉松公布抽签后，管油胜晒出了自己的短信截图，表示自己报的全马项目，没有中签。很多没中签的跑者表示心理平衡了，大神都没有中签，自己也不遗憾了。随后管油胜也表示，抽签就是这样，大家的概率是一样的，体现了公平性，大家不必起哄，自己有直通的资格。目前，焦安静正在高原积极进行恢复训练，成绩也在慢慢进步，希望她早日恢复到巅峰的水准。,跑步
9,大学生跑步猝死！医生提醒：猝死有个“黑三角”,近日，山西财经大学女大学生跑步猝死的新闻引发关注。3月27日，山西财经大学针对此事发布一则情况通报提到，在集体慢跑中，该同学慢跑约200多米后突然倒地。可惜经过一系列抢救，还是没有挽回生命。运动性猝死大都是心源性的！近年来有关年轻人猝死的新闻中，有的发生在工作时，有的发生在健身、跑步等运动时。“运动性猝死的最主要原因是心源性猝死（占81%），大部分是由于潜在的心脏疾病导致的。脑源性猝死占运动性猝死原因的第二位（17%），主要有脑血管畸形、动脉瘤或高血压等。”广东省人民医院心内科主任医师陈鲁原2019年在接受健康时报记者采访时指出。南京医科大学附属逸夫医院心内科副主任医师张代民2022年在接受紫牛新闻采访时谈到，运动状态下猝死多半是血管的一些斑块发生破裂，造成心肌缺血、心梗发生。尤其长时间处于疲劳的状态，这种状况发生的概率会更高，主要原因有三点：首先是长时间疲劳后身体的免疫系统功能下降，整个身体会处在更为脆弱的状态；其次是在长时间疲劳后，加之合并有血压、血脂或血糖增高的情况，这些因素都会诱发血管斑块的破裂；三是在运动等应激状态下，收缩血管因素增加，也增加血管斑块破裂的概率。长期疲劳状态下健身，众多不利因素都集中到一起，非常容易发生一些心血管疾病。猝死有个“黑三角”，千万别凑齐！北京大学人民医院心血管内科主任医师郭继鸿2013年在健康时报刊文谈到，猝死有个“黑三角”，这三个角有一处出现就能发生猝死，有两处猝死几率更高，三处就更危险了。1）下边的一角是有过心血管疾病的，比如心梗、心肌病、心衰；2）下边另一角是做心电图有过异常；3）顶点是体内的内环境不稳定，植物神经不稳定，交感神经兴奋，电解质紊乱等。底下的两个还能检查出来，但顶上那个“内环境不稳定”，情绪不稳定，激动、生气、劳累常是诱发因素，平时要多留意。要知道，长期压力大、敌意情绪、吸烟、睡眠不足、不健康饮食、体力活动不足等情况都会增加交感神经的兴奋。身体健康、体检没问题的人，处于高度疲劳、高度紧张的状态下会有发生心源性猝死的可能。上海交通大学医学院附属新华医院心血管内科副主任医师许之民2019年在接受健康时报采访时提醒广大青少年人群应当学会注意自己的身体状况、及时调节情绪，避免过度紧张和劳累，尤其不能夜晚进行劳累的行为或者工作。远离猝死，平时做好这5点！1。 了解自己心脏健康，体检很重要可以给自己建立心脏健康档案。尤其是中年人，更应该给心血管来个“年检”。除了心电图外，动态心电图检查、心脏彩超、运动心电图这三项检查，可以帮助发现心肌缺血、心律失常、心脏结构异常、评定心功能，帮助早期发现冠心病等。当然具体需要做什么检查，还是得由医生决定。2。 识别猝死信号，并非无迹可寻广东省人民医院心内科主任医师陈鲁原2019年在接受健康时报记者采访时指出，绝大多数在猝死发生前几天，都有临床症状。比如说：一过性的胸闷、胸痛、乏力、心慌，这种心慌是身子突然往下一沉，或者一忽悠的感觉，时间约为三、五分钟，很快就过去了，而且自然恢复了正常。特别是不明原因的昏厥，如卧床或睡眠时呼吸困难、烦躁不安、大汗淋漓、异常鼾声等。在这一周左右的时间之内，都有发生上述情况的可能。3。 一定别熬夜，要保证充足的睡眠在健康年轻人中，如果长期睡眠不足、突然进行高强度运动，可能会增加急性心脏应激反应和心脏病的风险。武汉市中心医院药学部主管药师阮小云2016年在健康时报刊文谈到，经常熬夜会使人的交感神经和副交感神经处于功能失调状态，增加心脑血管疾病的发生率，尤其对于一些平时没有症状，但工作压力较大、生活方式不健康而致抵抗力低下的人群，在高温的刺激下，更容易引起心律失常，促使血液循环缺乏，大脑一旦供血不足，会导致缺氧，于是便会突发晕厥，这是引发心源性猝死的重要原因。4。 别太累，压力大要学会自己放松一是，工作、学习别让自己太累，一定要留下放松的时间，而且不要久坐。2021年发表在《Environment International（国际环境）》上关于过劳对健康影响的报告指出，与每周工作35-40小时的标准工作时间相比，每周工作55小时或更长的人患缺血性心脏病和中风的风险更高。无疑增加了猝死风险。二是，放松休息不一定就是睡眠，比如看书、唱歌、散步、练习毛笔字，让自己觉得开心、身心放松的小事都可以多做一做。偶尔近期较忙导致睡眠时间过少，也不等于大脑就没休息，学会自我放松，让自己的身心得到充分的休息，比睡着没睡着更为重要。5。 运动要规律且适量，别透支身体长期习惯性、规律性的运动，是可以降低运动相关心脏骤停风险的。但是，也要注意2点：1）不管是普通人还是运动员的训练，都要讲求一个“度”字，不要轻易超越上限。尤其是未经系统训练和平时体质较差的人群，过大运动量加重心脏负担。一般强度以微微出汗，第二天不累为宜。2）如果是过度疲劳状态的话，继续运动也会继续透支身体，诱发一些心血管疾病的发生。所以疲劳状态就不要大量运动了。（来源：健康时报）,跑步
